Name,Date,Tournament,Division,TotalDivs,Placement,Players,Wins,Margin,GamesFirst,GamesLast,Rating,Norm
Marlon Prudencio,11 Dec 2011,Jurong Green CC mini tournament,1 of,3,4th of,10,5,+351,626 -,634,1909,
Marlon Prudencio,24 Jan 2010,11th SA Millennium Cup,1 of,2,3rd of,10,11,+377,365 -,382,1911,
Marlon Prudencio,7 Mar 2010,8th Lim Boon Heng Cup,1 of,3,4th of,14,9,+81,383 -,398,1908,
Marlon Prudencio,24 Apr 2010,1st Progressive Round Robin Scrabble Tournament 2010 (segment 1),1 of,3,2nd of,4,2,+37,,,,
Marlon Prudencio,24 Apr 2010,1st Progressive Round Robin Scrabble Tournament 2010 (segment 2),1 of,3,1st of,4,2,+70,,,,
Marlon Prudencio,24 Apr 2010,1st Progressive Round Robin Scrabble Tournament 2010 (segment 3),1 of,3,3rd of,4,1,-129,,,,
Marlon Prudencio,24 Apr 2010,1st Progressive Round Robin Scrabble Tournament 2010,1 of,1,9th of,14,5,-22,399 -,407,1914,
Marlon Prudencio,16 May 2010,Jurong Green CC mini tournament,1 of,3,6th of,8,3,-64,408 -,415,1887,
Marlon Prudencio,30 May 2010,Bishan Heights RC mini tournament,1 of,3,4th of,8,4,+14,416 -,423,1880,
Marlon Prudencio,18 Jul 2010,Singapore National Scrabble Championship 2010,1 of,3,9th of,16,7,+53,424 -,439,1848,
Marlon Prudencio,15 Aug 2010,Jurong Green CC mini tournament,1 of,3,3rd of,10,6,+339,440 -,448,1874,
Marlon Prudencio,19 Sep 2010,Bishan Heights RC mini tournament,1 of,3,5th of,10,5,-224,449 -,457,1886,
Marlon Prudencio,23 Oct 2010,Grandeur 8 mini tournament,1 of,2,3rd of,10,6,+379,458 -,467,1907,
Marlon Prudencio,14 Nov 2010,13th Singapore Open Scrabble Championship,1 of,4,12th of,16,7,+46,468 -,483,1845,
Marlon Prudencio,21 Nov 2010,Yew Tee Scrabble Open Championship 2010,1 of,2,9th of,26,9,+980,484 -,500,1840,
Marlon Prudencio,15 Feb 2009,Jurong Green CC mini tournament,1 of,2,2nd of,8,5,+206,284 -,291,1933,
Marlon Prudencio,22 Mar 2009,7th Lim Boon Heng Cup,1 of,3,9th of,16,7,+130,292 -,307,1884,
Marlon Prudencio,17 May 2009,Jurong Green CC mini tournament,1 of,2,5th of,10,4,+162,308 -,316,1865,
Marlon Prudencio,19 Jul 2009,Singapore National Scrabble Championship 2009,1 of,3,5th of,18,10,+321,317 -,332,1880,
Marlon Prudencio,16 Aug 2009,Jurong Green CC mini tournament,1 of,3,1st of,9,7,+596,333 -,340,1928,
Marlon Prudencio,5 Sep 2009,Grandeur 8 mini tournament,1 of,2,1st of,20,7,+123,341 -,348,1956,
Marlon Prudencio,22 Nov 2009,Yew Tee Scrabble Open Championship 2009,1 of,3,15th of,20,6,+5,349 -,364,1875,
Marlon Prudencio,27 Jan 2008,9th SA Millennium Cup,1 of,2,7th of,16,9,-49,161 -,176,1846,
Marlon Prudencio,16 Mar 2008,6th Lim Boon Heng Cup,1 of,3,8th of,12,7,-214,177 -,192,1825,
Marlon Prudencio,25 May 2008,11th Singapore Open Scrabble Championship,1 of,3,6th of,12,8,-24,193 -,207,1825,
Marlon Prudencio,1 Jun 2008,Jurong Green CC mini tournament,1 of,3,2nd of,6,5,-8,208 -,215,1849,
Marlon Prudencio,20 Jul 2008,Singapore National Scrabble Championship 2008,1 of,3,3rd of,24,11,+561,216 -,231,1891,
Marlon Prudencio,28 Sep 2008,Grandeur 8 mini tournament,1 of,1,8th of,18,5,+223,232 -,241,1869,
Marlon Prudencio,5 Oct 2008,Jurong Green CC mini tournament,1 of,2,4th of,8,5,-184,242 -,249,1879,
Marlon Prudencio,19 Oct 2008,Thomson Sin Ming Court RC 2nd Scrabble mini tournament,1 of,2,5th of,10,6,+281,250 -,258,1884,
Marlon Prudencio,16 Nov 2008,Yew Tee Scrabble Open Championship 2008,1 of,3,2nd of,10,11,+310,259 -,274,1933,GM
Marlon Prudencio,14 Dec 2008,Jurong Green CC mini tournament,1 of,2,5th of,10,5,-84,275 -,283,1926,
Marlon Prudencio,28 Jan 2007,8th SA Millennium Cup,1 of,2,7th of,22,9,+517,100 -,115,1871,
Marlon Prudencio,8 Apr 2007,Jurong Green CC mini tournament,1 of,3,2nd of,6,5,+5,116 -,123,1884,
Marlon Prudencio,27 May 2007,10th Singapore Open Scrabble Championship,1 of,3,9th of,18,8,+189,124 -,139,1855,
Marlon Prudencio,22 Jul 2007,Singapore National Scrabble Championship 2007,1 of,3,18th of,24,7,-213,140 -,152,1824,
Marlon Prudencio,5 Aug 2007,Jurong Green CC mini tournament,1 of,2,5th of,8,4,-502,153 -,160,1833,
Marlon Prudencio,9 Sep 2007,Charity Tournament - Words With A Difference,1 of,2,9th of,20,9,+304,,,,
Marlon Prudencio,2 Dec 2007,6th Causeway Scrabble Challenge,1 of,2,24th of,30,10,-1026,,,,
Marlon Prudencio,15 Jan 2006,7th SA Millennium Cup,1 of,2,6th of,10,10,-16,17 -,34,1860,*
Marlon Prudencio,19 Mar 2006,4th Lim Boon Heng Cup,1 of,3,3rd of,22,11,+268,35 -,50,1900,NM*
Marlon Prudencio,23 Apr 2006,Jurong Green CC mini tournament,1 of,3,6th of,8,3,-297,51 -,58,1869,
Marlon Prudencio,28 May 2006,9th Singapore Open Scrabble Championship,1 of,3,2nd of,22,10,+1020,59 -,74,1879,
Marlon Prudencio,23 Jul 2006,Singapore National Scrabble Championship 2006,1 of,3,4th of,26,11,+321,75 -,90,1904,*
Marlon Prudencio,15 Oct 2006,Jurong Green CC mini tournament,1 of,3,7th of,10,4,-181,91 -,99,1885,
Marlon Prudencio,10 Dec 2006,5th Causeway Scrabble Challenge,1 of,2,13th of,30,13,+139,,,,
Marlon Prudencio,30 Oct 2005,8th Singapore Open Scrabble Championship,1 of,3,8th of,20,9,+270,1 -,16,1853,*
Marlon Prudencio,4 Dec 2005,Jurong Green CC unrated mini tournament,1 of,3,2nd of,10,7,+655,,,,
Marlon Prudencio,18 Dec 2005,4th Causeway Scrabble Challenge,1 of,2,22nd of,32,10,-320,,,,
Liew Kian Boon,13 Jan 2013,14th SA Millennium Cup,1 of,2,2nd of,10,11�,+655,493 -,510,2029,
Liew Kian Boon,9 Mar 2013,SOS G8,1 of,1,7th of,10,4,-25,511 -,520,1995,
Liew Kian Boon,17 Mar 2013,NTU WGS Scrabble Mini 2013,1 of,2,2nd of,10,6,+61,521 -,529,2003,
Liew Kian Boon,2 Jun 2013,Bishan Heights RC mini tournament,1 of,3,5th of,10,5,-10,530 -,538,1993,
Liew Kian Boon,6 Oct 2013,Oktobertilefez Scrabblemini,1 of,1,4th of,12,7,+282,539 -,548,1972,
Liew Kian Boon,12 Oct 2013,Team NTU vs SGP,1 of,1,4th of,18,8,+362,,,,
Liew Kian Boon,16 Nov 2013,WYSC Scrabble Benefit Tournament,1 of,2,1st of,14,6,+270,549 -,556,1973,
Liew Kian Boon,14 Dec 2013,WYSC Scrabble Benefit Tournament,1 of,2,2nd of,10,7,+421,557 -,564,1977,
Liew Kian Boon,16 Jun 2012,Jurong Green CC Mind Sports Day,1 of,3,6th of,16,4,+79,445 -,451,1921,
Liew Kian Boon,22 Jul 2012,Singapore National Scrabble Championship 2012,1 of,3,1st of,18,13,+884,452 -,467,1991,
Liew Kian Boon,18 Nov 2012,15th Singapore Open Scrabble Championship,1 of,2,3rd of,28,10,+583,468 -,483,1997,
Liew Kian Boon,9 Dec 2012,Jurong Green CC mini tournament,1 of,3,1st of,8,8,+578,484 -,492,2030,
Liew Kian Boon,23 Jan 2011,12th SA Millennium Cup,1 of,3,8th of,12,9,+105,400 -,419,1909,
Liew Kian Boon,29 May 2011,Bishan Heights RC mini tournament,1 of,3,2nd of,10,6,+391,420 -,428,1923,
Liew Kian Boon,24 Jul 2011,Singapore National Scrabble Championship 2011,1 of,3,5th of,14,9�,+327,429 -,444,1925,
Liew Kian Boon,24 Jan 2010,11th SA Millennium Cup,1 of,2,5th of,10,9,-4,321 -,338,1916,
Liew Kian Boon,24 Apr 2010,1st Progressive Round Robin Scrabble Tournament 2010 (segment 1),1 of,3,1st of,4,2,+218,,,,
Liew Kian Boon,24 Apr 2010,1st Progressive Round Robin Scrabble Tournament 2010 (segment 2),1 of,3,3rd of,4,1,+12,,,,
Liew Kian Boon,24 Apr 2010,1st Progressive Round Robin Scrabble Tournament 2010 (segment 3),2 of,3,1st of,4,2,+124,,,,
Liew Kian Boon,24 Apr 2010,1st Progressive Round Robin Scrabble Tournament 2010,1 of,1,5th of,14,5,+354,339 -,347,1913,
Liew Kian Boon,18 Jul 2010,Singapore National Scrabble Championship 2010,1 of,3,4th of,16,9,+443,348 -,363,1912,
Liew Kian Boon,19 Sep 2010,Bishan Heights RC mini tournament,1 of,3,7th of,10,3,-80,364 -,372,1883,
Liew Kian Boon,23 Oct 2010,Grandeur 8 mini tournament,1 of,2,1st of,10,7,-72,373 -,382,1921,
Liew Kian Boon,21 Nov 2010,Yew Tee Scrabble Open Championship 2010,1 of,2,2nd of,26,12,+672,383 -,399,1973,
Liew Kian Boon,19 Jul 2009,Singapore National Scrabble Championship 2009,1 of,3,6th of,18,9�,+612,289 -,304,1874,
Liew Kian Boon,5 Sep 2009,Grandeur 8 mini tournament,1 of,2,3rd of,20,6,+169,305 -,312,1889,
Liew Kian Boon,13 Dec 2009,Jurong Green CC mini tournament,1 of,2,1st of,8,8,+590,313 -,320,1943,GM
Liew Kian Boon,6 Jan 2008,People's Association - Shin Min Active Mind Festival 2008 Fun Scrabble Competition (preliminaries),1 of,3,1st of,30,5,+633,,,,
Liew Kian Boon,13 Jan 2008,People's Association - Shin Min Active Mind Festival 2008 Fun Scrabble Competition (finals),1 of,3,2nd of,4,1,+58,,,,
Liew Kian Boon,1 Jun 2008,Jurong Green CC mini tournament,1 of,3,3rd of,6,4,+81,256 -,263,1896,
Liew Kian Boon,20 Jul 2008,Singapore National Scrabble Championship 2008,1 of,3,4th of,24,10,+660,264 -,278,1879,
Liew Kian Boon,28 Sep 2008,Grandeur 8 mini tournament,1 of,1,12th of,18,4�,-314,279 -,288,1861,
Liew Kian Boon,28 Jan 2007,8th SA Millennium Cup,1 of,2,6th of,22,10,-27,152 -,167,1824,*
Liew Kian Boon,4 Mar 2007,7th NTU Open Scrabble Championship,1 of,2,6th of,14,4,+265,168 -,175,1821,NM
Liew Kian Boon,18 Mar 2007,5th Lim Boon Heng Cup,1 of,3,9th of,18,8,+77,176 -,191,1799,
Liew Kian Boon,27 May 2007,10th Singapore Open Scrabble Championship,1 of,3,10th of,18,8,+55,192 -,207,1779,
Liew Kian Boon,1 Jul 2007,Jurong Green CC mini tournament,2 of,2,1st of,8,6,+1040,208 -,215,1786,
Liew Kian Boon,22 Jul 2007,Singapore National Scrabble Championship 2007,1 of,3,6th of,24,10,-122,216 -,231,1851,
Liew Kian Boon,9 Sep 2007,Charity Tournament - Words With A Difference,1 of,2,11th of,20,8,+464,,,,
Liew Kian Boon,7 Oct 2007,The Serangoon mini tournament,1 of,2,1st of,8,6,+606,232 -,239,1887,
Liew Kian Boon,25 Nov 2007,Yew Tee Scrabble Open Championship 2007,1 of,4,2nd of,16,6,+329,240 -,247,1908,*
Liew Kian Boon,2 Dec 2007,6th Causeway Scrabble Challenge,1 of,2,7th of,30,15,+953,,,,
Liew Kian Boon,16 Dec 2007,Jurong Green CC mini tournament,1 of,3,4th of,6,4,-324,248 -,255,1902,*
Liew Kian Boon,26 Feb 2006,Jurong Green CC mini tournament,1 of,3,5th of,10,4,-57,78 -,85,1725,M**
Liew Kian Boon,19 Mar 2006,4th Lim Boon Heng Cup,1 of,3,12th of,22,8,+131,86 -,100,1744,SM
Liew Kian Boon,16 Jul 2006,Jurong Green CC mini tournament,1 of,3,6th of,6,3,-169,101 -,108,1749,
Liew Kian Boon,23 Jul 2006,Singapore National Scrabble Championship 2006,1 of,3,16th of,26,7,+306,109 -,123,1720,
Liew Kian Boon,27 Aug 2006,Grandeur 8 mini tournament,2 of,2,2nd of,12,9�,+830,124 -,134,1773,
Liew Kian Boon,15 Oct 2006,Jurong Green CC mini tournament,2 of,3,2nd of,10,7,+840,135 -,143,1797,
Liew Kian Boon,10 Dec 2006,5th Causeway Scrabble Challenge,2 of,2,3rd of,66,14,+539,,,,
Liew Kian Boon,17 Dec 2006,Yew Tee Scrabble Open Championship 2006,1 of,3,4th of,16,5,+377,144 -,151,1823,*
Liew Kian Boon,27 Feb 2005,Jurong Green CC unrated mini tournament,2 of,3,2nd of,8,6,+729,,,,
Liew Kian Boon,6 Mar 2005,5th NTU Open Scrabble Championship,2 of,2,1st of,26,6,+853,42 -,49,1560,
Liew Kian Boon,12 Mar 2005,SAFRA Open,1 of,2,8th of,28,3,+167,,,,
Liew Kian Boon,20 Mar 2005,Jurong Green CC unrated mini tournament,1 of,3,4th of,6,4,-198,,,,
Liew Kian Boon,29 May 2005,Jurong Green CC unrated mini tournament,1 of,3,4th of,8,4,+266,,,,
Liew Kian Boon,3 Jul 2005,Jurong Green CC unrated mini tournament,2 of,3,1st of,8,6,+370,,,,
Liew Kian Boon,24 Jul 2005,Singapore National Scrabble Championship 2005,2 of,3,1st of,18,11,+1008,50 -,61,1657,*
Liew Kian Boon,4 Sep 2005,Jurong Green CC unrated mini tournament,2 of,3,1st of,8,7,+463,,,,
Liew Kian Boon,30 Oct 2005,8th Singapore Open Scrabble Championship,1 of,3,12th of,20,8,+159,62 -,77,1716,*
Liew Kian Boon,4 Dec 2005,Jurong Green CC unrated mini tournament,1 of,3,5th of,10,5,-94,,,,
Liew Kian Boon,18 Dec 2005,4th Causeway Scrabble Challenge,2 of,2,2nd of,46,15,+976,,,,
Liew Kian Boon,15 Feb 2004,Jurong Green CC mini tournament,3 of,3,1st of,16,6,+781,1 -,6,1480,
Liew Kian Boon,7 Mar 2004,Jurong Green CC mini tournament,2 of,3,5th of,6,4,-265,7 -,14,1501,
Liew Kian Boon,14 Mar 2004,4th NTU Open Scrabble Championship,2 of,2,8th of,12,3,-36,15 -,22,1440,
Liew Kian Boon,6 Jun 2004,7th Singapore Open Scrabble Championship,2 of,3,11th of,20,6,+12,23 -,33,1455,
Liew Kian Boon,12 Sep 2004,Kg Kembangan CC mini tournament,2 of,2,5th of,8,4,+223,34 -,41,1454,
Liew Kian Boon,19 Dec 2004,3rd Causeway Scrabble Challenge,2 of,2,5th of,30,12,+467,,,,
Yeo Kian Hung Henry,30 Mar 2014,Jurong Green CC Scrabble Open Championship 2014,1 of,3,7th of,14,8,+164,555 -,570,1869,
Yeo Kian Hung Henry,2 Feb 2013,Survivors Only Scrabblathon (SOS),1 of,1,9th of,20,6,+114,533 -,544,1908,
Yeo Kian Hung Henry,8 Sep 2013,Grandeur 8 mini tournament,1 of,2,12th of,12,4,-391,545 -,554,1878,
Yeo Kian Hung Henry,18 Mar 2012,Jurong Green CC Scrabble Open Championship 2012,1 of,3,7th of,14,8,+249,482 -,497,1897,
Yeo Kian Hung Henry,27 May 2012,Bishan Heights RC mini tournament,1 of,3,4th of,10,5,+331,498 -,506,1892,
Yeo Kian Hung Henry,6 Oct 2012,Oktobertilefest Scrabblemini,1 of,2,4th of,10,6,+107,507 -,516,1901,
Yeo Kian Hung Henry,18 Nov 2012,15th Singapore Open Scrabble Championship,1 of,2,4th of,28,10,+504,517 -,532,1945,
Yeo Kian Hung Henry,23 Jan 2011,12th SA Millennium Cup,1 of,3,10th of,12,7,-354,409 -,428,1825,
Yeo Kian Hung Henry,13 Mar 2011,9th Lim Boon Heng Cup,1 of,3,1st of,18,12,+1045,429 -,444,1905,*
Yeo Kian Hung Henry,16 Apr 2011,Survivors Only Scrabblathon (SOS),1 of,1,2nd of,22,9,+557,445 -,456,1959,*
Yeo Kian Hung Henry,15 May 2011,Jurong Green CC mini tournament,1 of,3,7th of,10,3,-196,457 -,465,1925,GM
Yeo Kian Hung Henry,27 Nov 2011,14th Singapore Open Scrabble Championship,1 of,4,12th of,30,9,+48,466 -,481,1926,
Yeo Kian Hung Henry,7 Mar 2010,8th Lim Boon Heng Cup,1 of,3,10th of,14,7,-152,393 -,408,1844,
Yeo Kian Hung Henry,1 Mar 2009,10th SA Millennium Cup,1 of,2,4th of,10,9,+99,359 -,376,1855,
Yeo Kian Hung Henry,31 May 2009,12th Singapore Open Scrabble Championship,1 of,3,7th of,18,9,+101,377 -,392,1878,
Yeo Kian Hung Henry,27 Jan 2008,9th SA Millennium Cup,1 of,2,4th of,16,10,+568,343 -,358,1878,
Yeo Kian Hung Henry,18 Mar 2007,5th Lim Boon Heng Cup,1 of,3,2nd of,18,11,+542,327 -,342,1864,
Yeo Kian Hung Henry,9 Sep 2007,Charity Tournament - Words With A Difference,1 of,2,7th of,20,9,+705,,,,
Yeo Kian Hung Henry,2 Dec 2007,6th Causeway Scrabble Challenge,1 of,2,20th of,30,11�,-92,,,,
Yeo Kian Hung Henry,19 Mar 2006,4th Lim Boon Heng Cup,1 of,3,11th of,22,8,+152,292 -,306,1814,NM
Yeo Kian Hung Henry,27 Aug 2006,Grandeur 8 mini tournament,1 of,2,6th of,12,6,+153,307 -,317,1827,
Yeo Kian Hung Henry,15 Oct 2006,Jurong Green CC mini tournament,1 of,3,9th of,10,3,-420,318 -,326,1810,
Yeo Kian Hung Henry,5 Jun 2005,Teck Ghee Zone B Residents' Committee mini tournament,1 of,2,4th of,10,5,-42,267 -,275,1789,
Yeo Kian Hung Henry,30 Oct 2005,8th Singapore Open Scrabble Championship,1 of,3,6th of,20,10,-68,276 -,291,1843,*
Yeo Kian Hung Henry,18 Dec 2005,4th Causeway Scrabble Challenge,1 of,2,21st of,32,10�,-609,,,,
Yeo Kian Hung Henry,6 Jun 2004,7th Singapore Open Scrabble Championship,1 of,3,13th of,20,7,-29,251 -,266,1779,
Yeo Kian Hung Henry,19 Dec 2004,3rd Causeway Scrabble Challenge,1 of,2,21st of,30,12,-462,,,,
Yeo Kian Hung Henry,26 Jan 2003,4th SA Millennium Cup,1 of,2,10th of,10,4,-1246,159 -,176,1606,*
Yeo Kian Hung Henry,16 Mar 2003,2nd Temasek Open,1 of,3,11th of,18,8,-446,177 -,192,1681,*
Yeo Kian Hung Henry,15 Jun 2003,6th Singapore Open Scrabble Championship,1 of,3,9th of,24,9,+3,193 -,208,1711,M*
Yeo Kian Hung Henry,7 Sep 2003,2nd Harmony Cup,1 of,3,7th of,18,11,+184,209 -,225,1777,*
Yeo Kian Hung Henry,27 Sep 2003,Aljunied-Kembangan Scrabble Tournament,1 of,2,3rd of,24,6,+272,,,,
Yeo Kian Hung Henry,5 Oct 2003,Jurong Green CC mini tournament,1 of,2,2nd of,8,7,+146,226 -,234,1808,SM*
Yeo Kian Hung Henry,23 Nov 2003,2nd Lim Boon Heng Cup,1 of,3,10th of,22,9,-28,235 -,250,1799,
Yeo Kian Hung Henry,14 Dec 2003,2nd Causeway Scrabble Challenge,1 of,2,18th of,20,5,-1055,,,,
Yeo Kian Hung Henry,20 Jan 2002,3rd SA Millennium Cup,2 of,3,1st of,12,14,+683,103 -,118,1598,
Yeo Kian Hung Henry,24 Feb 2002,2nd NTU Open Scrabble Championship,1 of,2,9th of,10,3,-315,119 -,126,1596,
Yeo Kian Hung Henry,3 Mar 2002,1st Temasek Open,1 of,2,18th of,18,5,-1115,127 -,142,1590,
Yeo Kian Hung Henry,1 Dec 2002,1st Lim Boon Heng Cup,1 of,3,20th of,24,6,-417,143 -,158,1596,
Yeo Kian Hung Henry,21 Jan 2001,2nd SA Millennium Cup,2 of,2,7th of,7,0,-2681,1 -,14,1283,
Yeo Kian Hung Henry,25 Feb 2001,Hong Kah East CC mini tournament,3 of,3,12th of,12,1,-829,15 -,22,1239,
Yeo Kian Hung Henry,4 Mar 2001,1st NTU Open Scrabble Championship,2 of,2,24th of,26,2,-474,23 -,29,1239,
Yeo Kian Hung Henry,15 Apr 2001,Hong Kah East CC mini tournament,3 of,3,9th of,12,3,-1,30 -,37,1264,
Yeo Kian Hung Henry,6 May 2001,4th Singapore Open Scrabble Championship,2 of,3,30th of,34,4�,-597,38 -,52,1264,
Yeo Kian Hung Henry,27 May 2001,Hong Kah East CC mini tournament,2 of,2,9th of,10,3,-687,53 -,61,1290,
Yeo Kian Hung Henry,17 Jun 2001,Hong Kah East CC mini tournament,2 of,2,8th of,10,3,-197,62 -,70,1302,
Yeo Kian Hung Henry,9 Sep 2001,Hong Kah East CC mini tournament,3 of,3,7th of,8,1,-658,71 -,78,1271,
Yeo Kian Hung Henry,28 Oct 2001,Hong Kah East CC mini tournament,3 of,3,3rd of,8,5,+228,79 -,86,1326,
Yeo Kian Hung Henry,24 Nov 2001,"not the 9th Kenneth Chen Cup, day 1",2 of,2,20th of,22,2,-421,87 -,94,1318,
Yeo Kian Hung Henry,25 Nov 2001,"not the 9th Kenneth Chen Cup, day 2",3 of,3,2nd of,8,5,+338,95 -,102,1354,
Shim Yen Nee,13 Jan 2013,14th SA Millennium Cup,1 of,2,10th of,10,5,-753,1220 -,1237,1829,
Shim Yen Nee,2 Feb 2013,Survivors Only Scrabblathon (SOS),1 of,1,4th of,20,8,-42,1238 -,1249,1871,
Shim Yen Nee,23 Jun 2013,EM23JUNE,1 of,2,6th of,10,4,-337,1250 -,1259,1856,
Shim Yen Nee,28 Jul 2013,Singapore National Scrabble Championship 2013,1 of,3,10th of,18,9,-91,1260 -,1277,1835,
Shim Yen Nee,22 Jul 2012,Singapore National Scrabble Championship 2012,1 of,3,6th of,18,10,+247,1170 -,1185,1920,GM
Shim Yen Nee,12 Aug 2012,Jurong Green CC mini tournament,1 of,3,8th of,10,4,-295,1186 -,1194,1913,
Shim Yen Nee,6 Oct 2012,Oktobertilefest Scrabblemini,1 of,2,2nd of,10,6,+317,1195 -,1204,1912,
Shim Yen Nee,18 Nov 2012,15th Singapore Open Scrabble Championship,1 of,2,16th of,28,8,+28,1205 -,1219,1859,
Shim Yen Nee,23 Jan 2011,12th SA Millennium Cup,2 of,3,1st of,10,14,+1430,1064 -,1081,1851,
Shim Yen Nee,13 Mar 2011,9th Lim Boon Heng Cup,1 of,3,15th of,18,6,-534,1082 -,1097,1796,
Shim Yen Nee,16 Apr 2011,Survivors Only Scrabblathon (SOS),1 of,1,12th of,22,6,-131,1098 -,1109,1812,
Shim Yen Nee,15 May 2011,Jurong Green CC mini tournament,1 of,3,3rd of,10,6,+213,1110 -,1118,1858,
Shim Yen Nee,24 Jul 2011,Singapore National Scrabble Championship 2011,1 of,3,6th of,14,9,-147,1119 -,1134,1876,
Shim Yen Nee,11 Sep 2011,Grandeur 8 mini tournament,1 of,2,8th of,10,4,+107,1135 -,1144,1864,
Shim Yen Nee,27 Nov 2011,14th Singapore Open Scrabble Championship,1 of,4,10th of,30,9,+209,1145 -,1160,1880,
Shim Yen Nee,11 Dec 2011,Jurong Green CC mini tournament,1 of,3,3rd of,10,6,+135,1161 -,1169,1901,*
Shim Yen Nee,24 Jan 2010,11th SA Millennium Cup,1 of,2,8th of,10,7,-626,920 -,937,1830,
Shim Yen Nee,7 Mar 2010,8th Lim Boon Heng Cup,1 of,3,7th of,14,8,-35,938 -,953,1846,
Shim Yen Nee,24 Apr 2010,1st Progressive Round Robin Scrabble Tournament 2010 (segment 1),2 of,3,4th of,4,1,-137,,,,
Shim Yen Nee,24 Apr 2010,1st Progressive Round Robin Scrabble Tournament 2010 (segment 2),3 of,3,1st of,6,2,+531,,,,
Shim Yen Nee,24 Apr 2010,1st Progressive Round Robin Scrabble Tournament 2010 (segment 3),2 of,3,4th of,4,0,-76,,,,
Shim Yen Nee,24 Apr 2010,1st Progressive Round Robin Scrabble Tournament 2010,1 of,1,13th of,14,3,+318,954 -,962,1803,
Shim Yen Nee,16 May 2010,Jurong Green CC mini tournament,1 of,3,4th of,8,4,-46,963 -,970,1816,
Shim Yen Nee,30 May 2010,Bishan Heights RC mini tournament,1 of,3,8th of,8,2,-371,971 -,978,1789,
Shim Yen Nee,18 Jul 2010,Singapore National Scrabble Championship 2010,1 of,3,3rd of,16,11,+261,979 -,994,1912,*
Shim Yen Nee,15 Aug 2010,Jurong Green CC mini tournament,1 of,3,8th of,10,3,-13,995 -,1003,1876,
Shim Yen Nee,19 Sep 2010,Bishan Heights RC mini tournament,1 of,3,9th of,10,3,-504,1004 -,1012,1855,
Shim Yen Nee,23 Oct 2010,Grandeur 8 mini tournament,1 of,2,6th of,10,5,-123,1013 -,1022,1869,
Shim Yen Nee,14 Nov 2010,13th Singapore Open Scrabble Championship,1 of,4,9th of,16,9,-408,1023 -,1038,1851,
Shim Yen Nee,21 Nov 2010,Yew Tee Scrabble Open Championship 2010,1 of,2,16th of,26,8,-142,1039 -,1055,1806,
Shim Yen Nee,12 Dec 2010,Jurong Green CC mini tournament,1 of,3,6th of,6,2,-555,1056 -,1063,1784,
Shim Yen Nee,15 Feb 2009,Jurong Green CC mini tournament,1 of,2,8th of,8,1,-1235,821 -,828,1746,
Shim Yen Nee,1 Mar 2009,10th SA Millennium Cup,1 of,2,10th of,10,7,-374,829 -,846,1749,
Shim Yen Nee,22 Mar 2009,7th Lim Boon Heng Cup,1 of,3,11th of,16,7,-365,847 -,862,1757,
Shim Yen Nee,17 May 2009,Jurong Green CC mini tournament,1 of,2,6th of,10,4,+55,863 -,871,1767,
Shim Yen Nee,31 May 2009,12th Singapore Open Scrabble Championship,1 of,3,12th of,18,7,-95,872 -,887,1783,
Shim Yen Nee,19 Jul 2009,Singapore National Scrabble Championship 2009,1 of,3,2nd of,18,11,+226,888 -,903,1864,
Shim Yen Nee,22 Nov 2009,Yew Tee Scrabble Open Championship 2009,1 of,3,10th of,20,8,-155,904 -,919,1843,
Shim Yen Nee,6 Jan 2008,People's Association - Shin Min Active Mind Festival 2008 Fun Scrabble Competition (preliminaries),1 of,3,14th of,30,3,+163,,,,
Shim Yen Nee,27 Jan 2008,9th SA Millennium Cup,1 of,2,13th of,16,5�,-583,684 -,699,1774,
Shim Yen Nee,24 Feb 2008,Jurong Green CC mini tournament,1 of,2,8th of,8,1,-193,700 -,707,1736,
Shim Yen Nee,16 Mar 2008,6th Lim Boon Heng Cup,1 of,3,5th of,12,8,+90,708 -,723,1785,
Shim Yen Nee,25 May 2008,11th Singapore Open Scrabble Championship,1 of,3,10th of,12,6,-354,724 -,737,1755,
Shim Yen Nee,1 Jun 2008,Jurong Green CC mini tournament,2 of,3,5th of,6,3,-48,738 -,745,1723,
Shim Yen Nee,20 Jul 2008,Singapore National Scrabble Championship 2008,1 of,3,9th of,24,8,+437,746 -,760,1746,
Shim Yen Nee,28 Sep 2008,Grandeur 8 mini tournament,1 of,1,17th of,18,3,-470,761 -,770,1709,
Shim Yen Nee,5 Oct 2008,Jurong Green CC mini tournament,1 of,2,6th of,8,2,-273,771 -,778,1698,
Shim Yen Nee,19 Oct 2008,Thomson Sin Ming Court RC 2nd Scrabble mini tournament,1 of,2,4th of,10,6,+499,779 -,787,1752,
Shim Yen Nee,16 Nov 2008,Yew Tee Scrabble Open Championship 2008,1 of,3,8th of,10,7,-398,788 -,803,1766,
Shim Yen Nee,30 Nov 2008,Signature Park Open Tournament,1 of,1,10th of,12,4,-350,804 -,812,1756,
Shim Yen Nee,14 Dec 2008,Jurong Green CC mini tournament,2 of,2,2nd of,12,6,+549,813 -,820,1778,
Shim Yen Nee,28 Jan 2007,8th SA Millennium Cup,1 of,2,10th of,22,8,-38,565 -,579,1756,
Shim Yen Nee,4 Feb 2007,Jurong Green CC mini tournament,1 of,2,5th of,8,4,-18,580 -,587,1759,
Shim Yen Nee,8 Apr 2007,Jurong Green CC mini tournament,1 of,3,4th of,6,4,-34,588 -,595,1774,
