"Name","Date","Tournament","Division","TotalDivs","Placement","Players","Wins","Margin","GamesFirst","GamesLast","Rating","Norm","NormProgress"
"Hubert Wee Ming Hui",2008-02-24,"Jurong Green CC mini tournament",1,2,1,8,6,594,572,579,1977,"",""
"Marcus David Goh",2008-02-24,"Jurong Green CC mini tournament",1,2,6,8,3,-240,299,306,1803,"",""
"Shim Yen Nee",2008-02-24,"Jurong Green CC mini tournament",1,2,8,8,1,-193,700,707,1736,"",""
"Victor Chua",2008-02-24,"Jurong Green CC mini tournament",1,2,4,8,5,46,357,364,1840,"","*"
"Tony Sim",2008-03-16,"6th Lim Boon Heng Cup",1,3,4,12,9,99,1165,1180,1868,"",""
"Cheah Siu Hean",2008-03-16,"6th Lim Boon Heng Cup",1,3,6,12,8,-32,1064,1079,1879,"",""
"Ricky Purnomo",2008-03-16,"6th Lim Boon Heng Cup",1,3,9,12,7,-298,828,843,1800,"",""
"Andy Kurnia",2008-03-16,"6th Lim Boon Heng Cup",1,3,11,12,6,-16,973,988,1805,"",""
"Hubert Wee Ming Hui",2008-03-16,"6th Lim Boon Heng Cup",1,3,2,12,11,500,580,595,1985,"",""
"Marcus David Goh",2008-03-16,"6th Lim Boon Heng Cup",1,3,3,12,10,323,307,322,1860,"",""
"Marlon Prudencio",2008-03-16,"6th Lim Boon Heng Cup",1,3,8,12,7,-214,177,192,1825,"",""
"Shim Yen Nee",2008-03-16,"6th Lim Boon Heng Cup",1,3,5,12,8,90,708,723,1785,"",""
"Victor Chua",2008-03-16,"6th Lim Boon Heng Cup",1,3,7,12,8,-243,365,380,1847,"NM",""
"Tony Sim",2008-04-13,"Jurong Green CC mini tournament",1,2,5,6,3,-67,1181,1188,1854,"",""
"Cheah Siu Hean",2008-04-13,"Jurong Green CC mini tournament",1,2,2,6,5,344,1080,1087,1900,"",""
"Hubert Wee Ming Hui",2008-04-13,"Jurong Green CC mini tournament",1,2,1,6,5,383,596,603,1981,"",""
"Victor Chua",2008-04-13,"Jurong Green CC mini tournament",1,2,3,6,5,4,381,388,1869,"",""
"Tony Sim",2008-05-25,"11th Singapore Open Scrabble Championship",1,3,8,12,7,-160,1189,1203,1822,"",""
"Cheah Siu Hean",2008-05-25,"11th Singapore Open Scrabble Championship",1,3,4,12,10,302,1088,1102,1907,"",""
"Hubert Wee Ming Hui",2008-05-25,"11th Singapore Open Scrabble Championship",1,3,2,12,11,431,604,618,1989,"",""
"Marcus David Goh",2008-05-25,"11th Singapore Open Scrabble Championship",1,3,3,12,10,659,323,337,1895,"",""
"Marlon Prudencio",2008-05-25,"11th Singapore Open Scrabble Championship",1,3,6,12,8,-24,193,207,1825,"",""
"Shim Yen Nee",2008-05-25,"11th Singapore Open Scrabble Championship",1,3,10,12,6,-354,724,737,1755,"",""
"Victor Chua",2008-05-25,"11th Singapore Open Scrabble Championship",1,3,5,12,9,25,389,403,1868,"",""
"Tony Sim",2008-06-01,"Jurong Green CC mini tournament",1,3,4,6,3,6,1204,1211,1815,"",""
"Cheah Siu Hean",2008-06-01,"Jurong Green CC mini tournament",1,3,1,6,7,528,1103,1110,1948,"",""
"Marcus David Goh",2008-06-01,"Jurong Green CC mini tournament",1,3,5,6,3,-88,338,345,1874,"",""
"Marlon Prudencio",2008-06-01,"Jurong Green CC mini tournament",1,3,2,6,5,-8,208,215,1849,"",""
"Liew Kian Boon",2008-06-01,"Jurong Green CC mini tournament",1,3,3,6,4,81,256,263,1896,"",""
"Shim Yen Nee",2008-06-01,"Jurong Green CC mini tournament",2,3,5,6,3,-48,738,745,1723,"",""
"Victor Chua",2008-06-01,"Jurong Green CC mini tournament",1,3,6,6,2,-519,404,411,1838,"",""
"Tony Sim",2008-07-20,"Singapore National Scrabble Championship 2008",1,3,11,24,8,29,1212,1227,1810,"",""
"Cheah Siu Hean",2008-07-20,"Singapore National Scrabble Championship 2008",1,3,7,24,9,507,1111,1125,1912,"",""
"Ricky Purnomo",2008-07-20,"Singapore National Scrabble Championship 2008",1,3,12,24,8,-359,844,859,1795,"",""
"Andy Kurnia",2008-07-20,"Singapore National Scrabble Championship 2008",1,3,6,24,9,666,989,1003,1833,"",""
"Hubert Wee Ming Hui",2008-07-20,"Singapore National Scrabble Championship 2008",1,3,2,24,12,567,619,634,1998,"",""
"Marcus David Goh",2008-07-20,"Singapore National Scrabble Championship 2008",1,3,1,24,13,664,346,361,1943,"","*"
"Marlon Prudencio",2008-07-20,"Singapore National Scrabble Championship 2008",1,3,3,24,11,561,216,231,1891,"",""
"Liew Kian Boon",2008-07-20,"Singapore National Scrabble Championship 2008",1,3,4,24,10,660,264,278,1879,"",""
"Shim Yen Nee",2008-07-20,"Singapore National Scrabble Championship 2008",1,3,9,24,8,437,746,760,1746,"",""
"Victor Chua",2008-07-20,"Singapore National Scrabble Championship 2008",1,3,16,24,7,-126,412,427,1811,"",""
"Cheah Siu Hean",2008-08-17,"Jurong Green CC mini tournament",1,2,4,8,5,275,1126,1133,1904,"",""
"Hubert Wee Ming Hui",2008-08-17,"Jurong Green CC mini tournament",1,2,2,8,5,664,635,642,1981,"",""
"Marcus David Goh",2008-08-17,"Jurong Green CC mini tournament",1,2,1,8,8,762,362,369,1984,"","*"
"Victor Chua",2008-08-17,"Jurong Green CC mini tournament",1,2,5,8,5,128,428,435,1820,"",""
"Tony Sim",2008-09-28,"Grandeur 8 mini tournament",1,1,13,18,4,-101,1228,1237,1790,"",""
"Cheah Siu Hean",2008-09-28,"Grandeur 8 mini tournament",1,1,7,18,5,194,1134,1143,1896,"",""
"Ricky Purnomo",2008-09-28,"Grandeur 8 mini tournament",1,1,16,18,3,200,860,869,1751,"",""
"Hubert Wee Ming Hui",2008-09-28,"Grandeur 8 mini tournament",1,1,2,18,7,264,643,652,1984,"",""
"Marcus David Goh",2008-09-28,"Grandeur 8 mini tournament",1,1,1,18,8,339,370,379,2004,"GM",""
"Toh Weibin",2008-09-28,"Grandeur 8 mini tournament",1,1,5,18,6,141,182,191,1908,"","*"
"Marlon Prudencio",2008-09-28,"Grandeur 8 mini tournament",1,1,8,18,5,223,232,241,1869,"",""
"Liew Kian Boon",2008-09-28,"Grandeur 8 mini tournament",1,1,12,18,4,-314,279,288,1861,"",""
"Shim Yen Nee",2008-09-28,"Grandeur 8 mini tournament",1,1,17,18,3,-470,761,770,1709,"",""
"Victor Chua",2008-09-28,"Grandeur 8 mini tournament",1,1,9,18,5,181,436,445,1830,"",""
"Tony Sim",2008-10-05,"Jurong Green CC mini tournament",1,2,7,8,2,-387,1238,1245,1764,"",""
"Cheah Siu Hean",2008-10-05,"Jurong Green CC mini tournament",1,2,5,8,4,191,1144,1151,1889,"",""
"Marcus David Goh",2008-10-05,"Jurong Green CC mini tournament",1,2,3,8,5,1,380,387,1996,"",""
"Toh Weibin",2008-10-05,"Jurong Green CC mini tournament",1,2,2,8,6,314,192,199,1927,"GM",""
"Marlon Prudencio",2008-10-05,"Jurong Green CC mini tournament",1,2,4,8,5,-184,242,249,1879,"",""
"Shim Yen Nee",2008-10-05,"Jurong Green CC mini tournament",1,2,6,8,2,-273,771,778,1698,"",""
"Victor Chua",2008-10-05,"Jurong Green CC mini tournament",1,2,1,8,6,729,446,453,1866,"",""
"Tony Sim",2008-10-19,"Thomson Sin Ming Court RC 2nd Scrabble mini tournament",1,2,1,10,8,510,1246,1254,1858,"",""
"Cheah Siu Hean",2008-10-19,"Thomson Sin Ming Court RC 2nd Scrabble mini tournament",1,2,6,10,4,355,1152,1160,1861,"",""
"Marcus David Goh",2008-10-19,"Thomson Sin Ming Court RC 2nd Scrabble mini tournament",1,2,2,10,7,684,388,396,1997,"",""
"Marlon Prudencio",2008-10-19,"Thomson Sin Ming Court RC 2nd Scrabble mini tournament",1,2,5,10,6,281,250,258,1884,"",""
"Shim Yen Nee",2008-10-19,"Thomson Sin Ming Court RC 2nd Scrabble mini tournament",1,2,4,10,6,499,779,787,1752,"",""
"Victor Chua",2008-10-19,"Thomson Sin Ming Court RC 2nd Scrabble mini tournament",1,2,3,10,7,455,454,462,1890,"",""
"Tony Sim",2008-11-16,"Yew Tee Scrabble Open Championship 2008",1,3,6,10,7,158,1255,1270,1842,"",""
"Andy Kurnia",2008-11-16,"Yew Tee Scrabble Open Championship 2008",1,3,5,10,8,-97,1004,1019,1855,"",""
"Hubert Wee Ming Hui",2008-11-16,"Yew Tee Scrabble Open Championship 2008",1,3,1,10,12,1058,653,668,2014,"",""
"Marcus David Goh",2008-11-16,"Yew Tee Scrabble Open Championship 2008",1,3,3,10,10,494,397,412,1985,"",""
"Marlon Prudencio",2008-11-16,"Yew Tee Scrabble Open Championship 2008",1,3,2,10,11,310,259,274,1933,"GM",""
"Shim Yen Nee",2008-11-16,"Yew Tee Scrabble Open Championship 2008",1,3,8,10,7,-398,788,803,1766,"",""
"Victor Chua",2008-11-16,"Yew Tee Scrabble Open Championship 2008",1,3,9,10,6,-504,463,478,1836,"",""
"Tony Sim",2008-11-30,"Signature Park Open Tournament",1,1,8,12,4,-63,1271,1279,1827,"",""
"Cheah Siu Hean",2008-11-30,"Signature Park Open Tournament",1,1,2,12,6,218,1161,1169,1874,"",""
"Andy Kurnia",2008-11-30,"Signature Park Open Tournament",1,1,5,12,5,178,1020,1028,1858,"",""
"Toh Weibin",2008-11-30,"Signature Park Open Tournament",1,1,4,12,5,180,200,208,1911,"",""
"Shim Yen Nee",2008-11-30,"Signature Park Open Tournament",1,1,10,12,4,-350,804,812,1756,"",""
"Victor Chua",2008-11-30,"Signature Park Open Tournament",1,1,3,12,6,184,479,487,1868,"",""
"Tony Sim",2008-12-14,"Jurong Green CC mini tournament",1,2,9,10,3,-427,1280,1288,1812,"",""
"Cheah Siu Hean",2008-12-14,"Jurong Green CC mini tournament",1,2,2,10,6,265,1170,1178,1896,"",""
"Marcus David Goh",2008-12-14,"Jurong Green CC mini tournament",1,2,3,10,5,251,413,421,1967,"",""
"Toh Weibin",2008-12-14,"Jurong Green CC mini tournament",1,2,1,10,7,580,209,217,1941,"",""
"Marlon Prudencio",2008-12-14,"Jurong Green CC mini tournament",1,2,5,10,5,-84,275,283,1926,"",""
"Shim Yen Nee",2008-12-14,"Jurong Green CC mini tournament",2,2,2,12,6,549,813,820,1778,"",""
"Victor Chua",2008-12-14,"Jurong Green CC mini tournament",1,2,8,10,4,-232,488,496,1860,"",""
"Tony Sim",2009-02-15,"Jurong Green CC mini tournament",1,2,7,8,3,55,1289,1296,1808,"",""
"Cheah Siu Hean",2009-02-15,"Jurong Green CC mini tournament",1,2,3,8,5,136,1179,1186,1911,"",""
"Ricky Purnomo",2009-02-15,"Jurong Green CC mini tournament",1,2,4,8,5,35,870,877,1804,"",""
"Hubert Wee Ming Hui",2009-02-15,"Jurong Green CC mini tournament",1,2,6,8,3,117,669,676,1988,"",""
"Marcus David Goh",2009-02-15,"Jurong Green CC mini tournament",1,2,5,8,4,-27,422,429,1951,"",""
"Marlon Prudencio",2009-02-15,"Jurong Green CC mini tournament",1,2,2,8,5,206,284,291,1933,"",""
"Shim Yen Nee",2009-02-15,"Jurong Green CC mini tournament",1,2,8,8,1,-1235,821,828,1746,"",""
"Victor Chua",2009-02-15,"Jurong Green CC mini tournament",1,2,1,8,6,713,497,504,1897,"",""
"Tony Sim",2009-03-01,"10th SA Millennium Cup",1,2,3,10,10,501,1297,1314,1831,"",""
"Cheah Siu Hean",2009-03-01,"10th SA Millennium Cup",1,2,2,10,11,488,1187,1204,1906,"",""
"Ricky Purnomo",2009-03-01,"10th SA Millennium Cup",1,2,6,10,9,-81,878,895,1813,"",""
"Toh Weibin",2009-03-01,"10th SA Millennium Cup",1,2,1,10,12,439,218,235,1940,"",""
"Yeo Kian Hung Henry",2009-03-01,"10th SA Millennium Cup",1,2,4,10,9,99,359,376,1855,"",""
"Shim Yen Nee",2009-03-01,"10th SA Millennium Cup",1,2,10,10,7,-374,829,846,1749,"",""
"Victor Chua",2009-03-01,"10th SA Millennium Cup",1,2,7,10,8,-293,505,522,1850,"",""
"Tony Sim",2009-03-22,"7th Lim Boon Heng Cup",1,3,4,16,11,254,1315,1330,1875,"",""
"Cheah Siu Hean",2009-03-22,"7th Lim Boon Heng Cup",1,3,3,16,11,476,1205,1220,1928,"",""
"Ricky Purnomo",2009-03-22,"7th Lim Boon Heng Cup",1,3,5,16,11,245,896,911,1866,"",""
"Hubert Wee Ming Hui",2009-03-22,"7th Lim Boon Heng Cup",1,3,2,16,12,1021,677,691,1990,"",""
"Marcus David Goh",2009-03-22,"7th Lim Boon Heng Cup",1,3,7,16,9,354,430,444,1929,"",""
"Marlon Prudencio",2009-03-22,"7th Lim Boon Heng Cup",1,3,9,16,7,130,292,307,1884,"",""
"Shim Yen Nee",2009-03-22,"7th Lim Boon Heng Cup",1,3,11,16,7,-365,847,862,1757,"",""
"Victor Chua",2009-03-22,"7th Lim Boon Heng Cup",1,3,8,16,7,164,523,538,1822,"",""
"Tony Sim",2009-05-17,"Jurong Green CC mini tournament",1,2,7,10,4,42,1331,1339,1858,"",""
"Cheah Siu Hean",2009-05-17,"Jurong Green CC mini tournament",1,2,2,10,6,467,1221,1229,1931,"",""
"Ricky Purnomo",2009-05-17,"Jurong Green CC mini tournament",1,2,1,10,8,616,912,920,1915,"",""
"Marlon Prudencio",2009-05-17,"Jurong Green CC mini tournament",1,2,5,10,4,162,308,316,1865,"",""
"Shim Yen Nee",2009-05-17,"Jurong Green CC mini tournament",1,2,6,10,4,55,863,871,1767,"",""
"Victor Chua",2009-05-17,"Jurong Green CC mini tournament",1,2,4,10,5,-240,539,547,1831,"",""
"Tony Sim",2009-05-31,"12th Singapore Open Scrabble Championship",1,3,9,18,9,56,1340,1355,1865,"",""
"Cheah Siu Hean",2009-05-31,"12th Singapore Open Scrabble Championship",1,3,11,18,7,499,1230,1245,1875,"",""
"Ricky Purnomo",2009-05-31,"12th Singapore Open Scrabble Championship",1,3,4,18,10,400,921,936,1934,"",""
"Hubert Wee Ming Hui",2009-05-31,"12th Singapore Open Scrabble Championship",1,3,2,18,10,856,692,707,1982,"",""
"Marcus David Goh",2009-05-31,"12th Singapore Open Scrabble Championship",1,3,10,18,8,100,445,460,1883,"",""
"Yeo Kian Hung Henry",2009-05-31,"12th Singapore Open Scrabble Championship",1,3,7,18,9,101,377,392,1878,"",""
"Shim Yen Nee",2009-05-31,"12th Singapore Open Scrabble Championship",1,3,12,18,7,-95,872,887,1783,"",""
"Victor Chua",2009-05-31,"12th Singapore Open Scrabble Championship",1,3,5,18,10,-2,548,563,1861,"",""
"Tony Sim",2009-07-19,"Singapore National Scrabble Championship 2009",1,3,3,18,10,1064,1356,1371,1867,"",""
"Cheah Siu Hean",2009-07-19,"Singapore National Scrabble Championship 2009",1,3,8,18,9,414,1246,1261,1870,"",""
"Hubert Wee Ming Hui",2009-07-19,"Singapore National Scrabble Championship 2009",1,3,12,18,7,325,708,723,1911,"",""
"Toh Weibin",2009-07-19,"Singapore National Scrabble Championship 2009",1,3,9,18,8,623,236,251,1892,"",""
"Marlon Prudencio",2009-07-19,"Singapore National Scrabble Championship 2009",1,3,5,18,10,321,317,332,1880,"",""
"Liew Kian Boon",2009-07-19,"Singapore National Scrabble Championship 2009",1,3,6,18,9,612,289,304,1874,"",""
"Shim Yen Nee",2009-07-19,"Singapore National Scrabble Championship 2009",1,3,2,18,11,226,888,903,1864,"",""
"Victor Chua",2009-07-19,"Singapore National Scrabble Championship 2009",1,3,4,18,10,381,564,579,1872,"",""
"Tony Sim",2009-08-16,"Jurong Green CC mini tournament",1,3,8,9,2,-320,1372,1379,1834,"",""
"Cheah Siu Hean",2009-08-16,"Jurong Green CC mini tournament",1,3,5,9,5,166,1262,1269,1885,"",""
"Ricky Purnomo",2009-08-16,"Jurong Green CC mini tournament",1,3,4,9,5,177,937,944,1937,"",""
"Hubert Wee Ming Hui",2009-08-16,"Jurong Green CC mini tournament",1,3,2,9,6,96,724,731,1935,"",""
"Toh Weibin",2009-08-16,"Jurong Green CC mini tournament",1,3,3,9,5,230,252,259,1903,"",""
"Marlon Prudencio",2009-08-16,"Jurong Green CC mini tournament",1,3,1,9,7,596,333,340,1928,"",""
"Tony Sim",2009-09-05,"Grandeur 8 mini tournament",1,2,4,20,5,507,1380,1387,1855,"",""
"Cheah Siu Hean",2009-09-05,"Grandeur 8 mini tournament",1,2,10,20,4,46,1270,1277,1861,"",""
"Andy Kurnia",2009-09-05,"Grandeur 8 mini tournament",1,2,2,20,6,364,1029,1036,1880,"",""
"Toh Weibin",2009-09-05,"Grandeur 8 mini tournament",1,2,14,20,3,154,260,267,1852,"",""
"Marlon Prudencio",2009-09-05,"Grandeur 8 mini tournament",1,2,1,20,7,123,341,348,1956,"",""
"Liew Kian Boon",2009-09-05,"Grandeur 8 mini tournament",1,2,3,20,6,169,305,312,1889,"",""
"Victor Chua",2009-09-05,"Grandeur 8 mini tournament",1,2,5,20,5,226,580,587,1868,"",""
"Tony Sim",2009-11-22,"Yew Tee Scrabble Open Championship 2009",1,3,11,20,7,337,1388,1403,1835,"",""
"Cheah Siu Hean",2009-11-22,"Yew Tee Scrabble Open Championship 2009",1,3,8,20,9,-121,1278,1293,1873,"",""
"Ricky Purnomo",2009-11-22,"Yew Tee Scrabble Open Championship 2009",1,3,3,20,11,106,945,960,1980,"",""
"Hubert Wee Ming Hui",2009-11-22,"Yew Tee Scrabble Open Championship 2009",1,3,2,20,11,866,732,747,1966,"",""
"Toh Weibin",2009-11-22,"Yew Tee Scrabble Open Championship 2009",1,3,14,20,7,34,268,283,1846,"",""
"Marlon Prudencio",2009-11-22,"Yew Tee Scrabble Open Championship 2009",1,3,15,20,6,5,349,364,1875,"",""
"Shim Yen Nee",2009-11-22,"Yew Tee Scrabble Open Championship 2009",1,3,10,20,8,-155,904,919,1843,"",""
"Victor Chua",2009-11-22,"Yew Tee Scrabble Open Championship 2009",1,3,12,20,7,156,588,603,1837,"",""
"Tony Sim",2009-12-13,"Jurong Green CC mini tournament",1,2,3,8,4,451,1404,1411,1832,"",""
"Cheah Siu Hean",2009-12-13,"Jurong Green CC mini tournament",1,2,2,8,5,322,1294,1301,1877,"",""
"Toh Weibin",2009-12-13,"Jurong Green CC mini tournament",1,2,6,8,3,54,284,291,1824,"",""
"Liew Kian Boon",2009-12-13,"Jurong Green CC mini tournament",1,2,1,8,8,590,313,320,1943,"GM",""
"Victor Chua",2009-12-13,"Jurong Green CC mini tournament",1,2,5,8,3,72,604,611,1813,"",""
"Yong Jian Rong",2009-12-13,"Jurong Green CC mini tournament",2,2,6,7,2,-679,1,7,1457,"",""
"Tony Sim",2010-01-24,"11th SA Millennium Cup",1,2,6,10,8,-60,1412,1429,1840,"",""
"Cheah Siu Hean",2010-01-24,"11th SA Millennium Cup",1,2,4,10,10,490,1302,1319,1896,"",""
"Ricky Purnomo",2010-01-24,"11th SA Millennium Cup",1,2,1,10,14,659,961,978,2017,"",""
"Andy Kurnia",2010-01-24,"11th SA Millennium Cup",1,2,7,10,7,-406,1037,1054,1850,"",""
"Toh Weibin",2010-01-24,"11th SA Millennium Cup",1,2,2,10,13,975,292,309,1915,"",""
"Marlon Prudencio",2010-01-24,"11th SA Millennium Cup",1,2,3,10,11,377,365,382,1911,"",""
"Liew Kian Boon",2010-01-24,"11th SA Millennium Cup",1,2,5,10,9,-4,321,338,1916,"",""
"Shim Yen Nee",2010-01-24,"11th SA Millennium Cup",1,2,8,10,7,-626,920,937,1830,"",""
"Victor Chua",2010-01-24,"11th SA Millennium Cup",2,2,1,18,12,1177,612,625,1841,"",""
"Yong Jian Rong",2010-01-24,"11th SA Millennium Cup",2,2,17,18,5,-455,8,21,1464,"",""
"Tony Sim",2010-03-07,"8th Lim Boon Heng Cup",1,3,3,14,10,367,1430,1445,1880,"",""
"Cheah Siu Hean",2010-03-07,"8th Lim Boon Heng Cup",1,3,1,14,12,1047,1320,1335,1956,"",""
"Ricky Purnomo",2010-03-07,"8th Lim Boon Heng Cup",1,3,11,14,7,-271,979,994,1973,"",""
"Andy Kurnia",2010-03-07,"8th Lim Boon Heng Cup",1,3,12,14,7,-285,1055,1070,1834,"",""
"Toh Weibin",2010-03-07,"8th Lim Boon Heng Cup",1,3,8,14,8,-90,310,325,1899,"",""
"Marlon Prudencio",2010-03-07,"8th Lim Boon Heng Cup",1,3,4,14,9,81,383,398,1908,"",""
"Yeo Kian Hung Henry",2010-03-07,"8th Lim Boon Heng Cup",1,3,10,14,7,-152,393,408,1844,"",""
"Shim Yen Nee",2010-03-07,"8th Lim Boon Heng Cup",1,3,7,14,8,-35,938,953,1846,"",""
"Victor Chua",2010-03-07,"8th Lim Boon Heng Cup",1,3,6,14,8,194,626,641,1842,"",""
"Andy Kurnia",2010-04-24,"1st Progressive Round Robin Scrabble Tournament 2010",1,1,3,14,5,462,1071,1079,1815,"",""
"Hubert Wee Ming Hui",2010-04-24,"1st Progressive Round Robin Scrabble Tournament 2010",1,1,1,14,7,472,748,756,1986,"",""
"Toh Weibin",2010-04-24,"1st Progressive Round Robin Scrabble Tournament 2010",1,1,7,14,5,186,326,334,1905,"",""
"Marlon Prudencio",2010-04-24,"1st Progressive Round Robin Scrabble Tournament 2010",1,1,9,14,5,-22,399,407,1914,"",""
"Liew Kian Boon",2010-04-24,"1st Progressive Round Robin Scrabble Tournament 2010",1,1,5,14,5,354,339,347,1913,"",""
"Shim Yen Nee",2010-04-24,"1st Progressive Round Robin Scrabble Tournament 2010",1,1,13,14,3,318,954,962,1803,"",""
"Victor Chua",2010-04-24,"1st Progressive Round Robin Scrabble Tournament 2010",1,1,12,14,4,-464,642,650,1844,"",""
"Tony Sim",2010-05-16,"Jurong Green CC mini tournament",1,3,5,8,3,126,1446,1453,1860,"",""
"Cheah Siu Hean",2010-05-16,"Jurong Green CC mini tournament",1,3,2,8,5,-88,1336,1343,1957,"",""
"Andy Kurnia",2010-05-16,"Jurong Green CC mini tournament",1,3,8,8,3,-375,1080,1087,1809,"",""
"Hubert Wee Ming Hui",2010-05-16,"Jurong Green CC mini tournament",1,3,1,8,7,485,757,764,2013,"",""
"Toh Weibin",2010-05-16,"Jurong Green CC mini tournament",1,3,3,8,4,256,335,342,1893,"",""
"Marlon Prudencio",2010-05-16,"Jurong Green CC mini tournament",1,3,6,8,3,-64,408,415,1887,"",""
"Shim Yen Nee",2010-05-16,"Jurong Green CC mini tournament",1,3,4,8,4,-46,963,970,1816,"",""
"Yong Jian Rong",2010-05-16,"Jurong Green CC mini tournament",2,3,8,8,3,-550,22,29,1466,"",""
"Tony Sim",2010-05-30,"Bishan Heights RC mini tournament",1,3,1,8,6,446,1454,1461,1892,"",""
"Cheah Siu Hean",2010-05-30,"Bishan Heights RC mini tournament",1,3,2,8,6,193,1344,1351,1968,"",""
"Andy Kurnia",2010-05-30,"Bishan Heights RC mini tournament",1,3,7,8,2,-353,1088,1095,1784,"",""
"Toh Weibin",2010-05-30,"Bishan Heights RC mini tournament",1,3,3,8,5,358,343,350,1901,"",""
"Marlon Prudencio",2010-05-30,"Bishan Heights RC mini tournament",1,3,4,8,4,14,416,423,1880,"",""
"Shim Yen Nee",2010-05-30,"Bishan Heights RC mini tournament",1,3,8,8,2,-371,971,978,1789,"",""
"Victor Chua",2010-05-30,"Bishan Heights RC mini tournament",1,3,5,8,4,-140,651,658,1841,"",""
"Tony Sim",2010-07-18,"Singapore National Scrabble Championship 2010",1,3,1,16,11,843,1462,1477,1931,"",""
"Cheah Siu Hean",2010-07-18,"Singapore National Scrabble Championship 2010",1,3,7,16,8,323,1352,1367,1932,"",""
"Ricky Purnomo",2010-07-18,"Singapore National Scrabble Championship 2010",1,3,2,16,11,694,995,1010,1980,"",""
"Andy Kurnia",2010-07-18,"Singapore National Scrabble Championship 2010",1,3,10,16,7,37,1096,1111,1770,"",""
"Hubert Wee Ming Hui",2010-07-18,"Singapore National Scrabble Championship 2010",1,3,6,16,9,169,765,780,1991,"",""
"Marcus David Goh",2010-07-18,"Singapore National Scrabble Championship 2010",1,3,5,16,9,274,461,476,1890,"",""
"Marlon Prudencio",2010-07-18,"Singapore National Scrabble Championship 2010",1,3,9,16,7,53,424,439,1848,"",""
"Liew Kian Boon",2010-07-18,"Singapore National Scrabble Championship 2010",1,3,4,16,9,443,348,363,1912,"",""
"Shim Yen Nee",2010-07-18,"Singapore National Scrabble Championship 2010",1,3,3,16,11,261,979,994,1912,"","*"
"Victor Chua",2010-07-18,"Singapore National Scrabble Championship 2010",1,3,11,16,7,-105,659,674,1814,"",""
"Yong Jian Rong",2010-07-18,"Singapore National Scrabble Championship 2010",2,3,19,22,4,-44,30,41,1409,"",""
"Tony Sim",2010-08-15,"Jurong Green CC mini tournament",1,3,10,10,3,-412,1478,1486,1891,"",""
"Cheah Siu Hean",2010-08-15,"Jurong Green CC mini tournament",1,3,2,10,6,521,1368,1376,1940,"",""
"Andy Kurnia",2010-08-15,"Jurong Green CC mini tournament",2,3,1,10,8,875,1112,1120,1802,"",""
"Marcus David Goh",2010-08-15,"Jurong Green CC mini tournament",1,3,1,10,8,572,477,485,1940,"",""
"Toh Weibin",2010-08-15,"Jurong Green CC mini tournament",1,3,6,10,4,-144,351,359,1884,"",""
"Marlon Prudencio",2010-08-15,"Jurong Green CC mini tournament",1,3,3,10,6,339,440,448,1874,"",""
"Shim Yen Nee",2010-08-15,"Jurong Green CC mini tournament",1,3,8,10,3,-13,995,1003,1876,"",""
"Victor Chua",2010-08-15,"Jurong Green CC mini tournament",1,3,5,10,4,-120,675,683,1815,"",""
"Yong Jian Rong",2010-08-15,"Jurong Green CC mini tournament",3,3,1,8,5,589,42,48,1480,"",""
"Tony Sim",2010-09-19,"Bishan Heights RC mini tournament",1,3,4,10,5,466,1487,1495,1899,"",""
"Cheah Siu Hean",2010-09-19,"Bishan Heights RC mini tournament",1,3,3,10,6,263,1377,1385,1953,"",""
"Andy Kurnia",2010-09-19,"Bishan Heights RC mini tournament",2,3,3,8,5,329,1121,1128,1791,"",""
"Hubert Wee Ming Hui",2010-09-19,"Bishan Heights RC mini tournament",1,3,2,10,7,226,781,789,2008,"",""
"Toh Weibin",2010-09-19,"Bishan Heights RC mini tournament",1,3,1,10,7,590,360,368,1925,"",""
"Marlon Prudencio",2010-09-19,"Bishan Heights RC mini tournament",1,3,5,10,5,-224,449,457,1886,"",""
"Liew Kian Boon",2010-09-19,"Bishan Heights RC mini tournament",1,3,7,10,3,-80,364,372,1883,"",""
"Shim Yen Nee",2010-09-19,"Bishan Heights RC mini tournament",1,3,9,10,3,-504,1004,1012,1855,"",""
"Yong Jian Rong",2010-09-19,"Bishan Heights RC mini tournament",2,3,7,8,3,-358,49,56,1498,"",""
"Tony Sim",2010-10-23,"Grandeur 8 mini tournament",1,2,5,10,6,-221,1496,1505,1918,"",""
"Cheah Siu Hean",2010-10-23,"Grandeur 8 mini tournament",1,2,4,10,6,-96,1386,1395,1957,"",""
"Ricky Purnomo",2010-10-23,"Grandeur 8 mini tournament",1,2,8,10,4,44,1011,1020,1949,"",""
"Hubert Wee Ming Hui",2010-10-23,"Grandeur 8 mini tournament",1,2,7,10,4,80,790,799,1984,"",""
"Toh Weibin",2010-10-23,"Grandeur 8 mini tournament",1,2,2,10,6,515,369,378,1937,"",""
"Marlon Prudencio",2010-10-23,"Grandeur 8 mini tournament",1,2,3,10,6,379,458,467,1907,"",""
"Liew Kian Boon",2010-10-23,"Grandeur 8 mini tournament",1,2,1,10,7,-72,373,382,1921,"",""
"Shim Yen Nee",2010-10-23,"Grandeur 8 mini tournament",1,2,6,10,5,-123,1013,1022,1869,"",""
"Yong Jian Rong",2010-10-23,"Grandeur 8 mini tournament",2,2,9,10,3,-325,57,66,1498,"",""
