Name,Date,Tournament,Division,TotalDivs,Placement,Players,Wins,Margin,GamesFirst,GamesLast,Rating,Norm
Ricky Purnomo,1 Dec 2002,1st Lim Boon Heng Cup,1 of,3,6th of,24,10,-51,362 -,377,1913,GM
Ricky Purnomo,22 Dec 2002,1st Causeway Scrabble Challenge,1 of,1,15th of,20,8½,-86,,,,
Ricky Purnomo,21 Jan 2001,2nd SA Millennium Cup,1 of,2,2nd of,8,10,+234,197 -,212,1818,NM
Ricky Purnomo,4 Mar 2001,1st NTU Open Scrabble Championship,1 of,2,6th of,12,4,+208,213 -,220,1805,
Ricky Purnomo,6 May 2001,4th Singapore Open Scrabble Championship,1 of,3,15th of,30,8,+71,221 -,236,1791,
Ricky Purnomo,15 Jul 2001,Singapore National Scrabble Championship 2001,1 of,2,4th of,20,10,+472,237 -,252,1782,
Ricky Purnomo,28 Oct 2001,Hong Kah East CC mini tournament,1 of,3,5th of,10,4,+316,253 -,261,1770,
Ricky Purnomo,24 Nov 2001,"not the 9th Kenneth Chen Cup, day 1",1 of,2,5th of,18,5,+473,262 -,270,1794,
Ricky Purnomo,25 Nov 2001,"not the 9th Kenneth Chen Cup, day 2",1 of,3,5th of,20,6,+71,271 -,279,1805,
Ricky Purnomo,20 Feb 2000,1st SA Millennium Cup,1 of,2,5th of,8,8,+422,95 -,110,1707,
Ricky Purnomo,26 Mar 2000,6th Hong Kah East CC - St John's Institution Annual Friendly,1 of,1,9th of,28,9,+119,111 -,126,1732,
Ricky Purnomo,21 May 2000,3rd Singapore Open Scrabble Championship,1 of,3,11th of,28,9,+58,127 -,142,1781,
Ricky Purnomo,8 Jul 2000,SA mini tournament,1 of,1,6th of,10,4,-77,143 -,151,1760,
Ricky Purnomo,9 Jul 2000,SA mini tournament,1 of,1,3rd of,16,6,+228,152 -,159,1772,
Ricky Purnomo,6 Aug 2000,Hong Kah East CC mini tournament,1 of,2,4th of,10,5,+158,160 -,168,1766,
Ricky Purnomo,10 Sep 2000,Mind Sports Olympiad,1 of,2,6th of,20,13,+669,169 -,187,1807,*
Ricky Purnomo,22 Oct 2000,Hong Kah East CC mini tournament,1 of,2,3rd of,10,6,+179,188 -,196,1809,*
Ricky Purnomo,30 May 1999,2nd Singapore Open Scrabble Championship,1 of,3,7th of,36,9,+219,64 -,78,1716,*
Ricky Purnomo,5 Dec 1999,7th Kenneth Chen Cup,1 of,3,7th of,34,9,+814,79 -,94,1706,SM
Ricky Purnomo,31 May 1998,4th Hong Kah East CC - St John's Institution Annual Friendly,1 of,1,6th of,52,10,+418,17 -,31,1670,*
Ricky Purnomo,2 Aug 1998,1st Singapore Open Scrabble Championship,1 of,3,8th of,24,9,+57,32 -,47,1725,*
Ricky Purnomo,29 Nov 1998,6th Kenneth Chen Cup,1 of,2,13th of,42,9,+136,48 -,63,1695,M*
Ricky Purnomo,30 Nov 1997,5th Kenneth Chen Cup,1 of,2,37th of,62,7,+89,1 -,16,1544,
