Timestamp,Match ID,Game,Player A,Player B,A Score,B Score,A Bingos,B Bingos,A Start,B Start,A:J,A:Q,A:X,A:Z,A:S,A:?,B:J,B:Q,B:X,B:Z,B:S,B:?
20/10/2015 20:51:08,I,4,Hubert Wee,J. Jeyaseelan,423,347,"AETATiS 82, FANWiSE 92",,,*,0,1,0,0,2,2,1,0,1,1,2,0
20/10/2015 20:53:52,I,5,Hubert Wee,J. Jeyaseelan,558,330,"STiTCHED 108, RETURFS 70, SEAsONER 77",DONNEES 78,,,1,1,1,0,3,2,0,0,0,1,1,0
20/10/2015 21:31:12,K,4,Marlon Prudencio,Gan Cher Siong,392,324,,ENDIRONs 60,*,,0,1,1,1,3,1,1,0,0,0,1,1
20/10/2015 22:17:14,K,5,Marlon Prudencio,Gan Cher Siong,427,461,"NURDLING 91, TEaCAKE 91","HORNIEST 74, ARTSIES 70, IsOLATED 70",,*,0,1,1,1,0,1,1,0,0,0,4,1
20/10/2015 23:05:59,K,6,Marlon Prudencio,Gan Cher Siong,511,358,"VALUATES 74, SOLiDLY 83, SIEROZEM 97, HOTELING 69",TRAINEES 59,*,,1,1,0,1,3,1,0,0,1,0,1,1
21/10/2015 00:08:58,K,7,Marlon Prudencio,Gan Cher Siong,470,369,"VENTURES 62, STRAUNGE 80","WAISTED 76, BEFRIEND 89",*,,1,0,1,1,3,0,0,1,0,0,1,2
21/10/2015 21:26:15,J,1,Victor Chua,Alex Tan,447,458,"AERONAUT 59, EnLISTEd 74, RAGSTONE 80","AVOIdER 80, FINEABLE 87",,*,0,0,1,0,3,1,1,1,0,1,1,1
21/10/2015 21:30:13,J,2,Victor Chua,Alex Tan,497,322,"SUETIER 71, GHARRIS 85, pILOTED 78",LEUCEMiA 77,*,,0,1,0,1,2,1,1,0,1,0,2,1
21/10/2015 22:16:01,J,3,Victor Chua,Alex Tan,392,465,"POINTIER 61, REFIRING 64, ABSORBED 78","VIRGULEs 91, REASONED 63",,*,0,1,0,0,2,1,1,0,1,1,2,1
21/10/2015 22:50:25,J,4,Victor Chua,Alex Tan,369,559,RABATINE 68,"DENIABLY 85, LUCIDITY 71, AtAXIES 81, COLLArED 83",*,,1,0,0,0,1,0,0,1,1,1,3,2
22/10/2015 00:06:50,J,5,Victor Chua,Alex Tan,441,388,"AUTHORED 74, INCLOSER 68, FIDGETY 64","BRATTIER 70, PROFANES 106",,*,1,0,1,0,2,1,0,1,0,1,2,1
22/10/2015 20:05:09,N,5,Yong Jian Rong,Lim Li Wei,387,497,"ARRASENe 74, ENDITED 71","PROMETAL 75, TUATArA 75",,*,0,1,0,0,2,1,1,0,1,1,2,1
22/10/2015 21:11:01,N,6,Yong Jian Rong,Lim Li Wei,331,435,STERNeR 65,ERECTIOn 74,*,,1,1,0,0,1,1,0,0,1,1,3,1
22/10/2015 21:20:36,J,6,Victor Chua,Alex Tan,391,398,iNTERNET 64,"CHALETS 84, AAS(V)OGeL 67",*,,0,0,0,0,1,1,1,1,1,1,3,1
