"","player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","cumwin","cumspread","ave.score","hi.score","low.score","si","lose.streak","win.streak","rank"
"203","Ananto Widodo",6,364,35,37,"N",0,"Lose","N","Theng Wai Mun",376,-12,1,-199,321.5,374,150,99801,4,1,37
"204","Andri Prasetyo",6,249,33,38,"N",0,"Lose","N","Shahrul Kamal",558,-309,2,-640,290.5,402,150,199360,4,2,36
"205","Andy Kurnia",6,391,15,6,"N",0,"Lose","N","Jeremy Khoo",461,-70,2.5,-380,381.833333333333,482,292,249620,2,2,28
"206","Arul Inthirarajah",6,416,39,30,"N",1,"Win","N","Muhd Fari Husada",335,81,2,-134,370,498,199,199866,4,3,30
"207","Cheah Siu Hean",6,373,3,7,"N",0,"Lose","N","Hubert Wee",469,-96,3,366,441.5,510,373,300366,2,3,14
"208","Chew Han Ei",6,444,10,23,"N",1,"Win","N","Yong Jian Rong",388,56,4,149,421.166666666667,448,399,400149,2,3,10
"209","Dianne Ward",6,288,13,22,"N",0,"Lose","N","Gan Yi En",517,-229,2,-295,380.5,441,288,199705,2,3,34
"210","Elizabeth Wok",6,349,26,29,"N",0,"Lose","N","Tengku Asri",397,-48,3,-218,351.833333333333,406,299,299782,2,3,26
"211","Gabriel Cheang",6,464,27,16,"N",1,"Win","N","K Dorai Raja",340,124,4,508,446.833333333333,505,355,400508,2,2,6
"212","Gan Yi En",6,517,22,13,"N",1,"Win","N","Dianne Ward",288,229,3,276,441.833333333333,517,367,300276,3,2,16
"213","Goh Jiang Pern",6,433,36,14,"N",1,"Win","N","Sharon Chia",219,214,2,-113,380.5,433,257,199887,4,2,29
"214","Hubert Wee",6,469,7,3,"N",1,"Win","N","Cheah Siu Hean",373,96,5,134,431.833333333333,469,393,500134,2,4,5
"215","J Goutham",6,412,4,9,"N",0,"Lose","N","Tony Sim",453,-41,4,218,444.833333333333,536,391,400218,2,6,9
"216","Jeremy Khoo",6,461,6,15,"N",1,"Win","N","Andy Kurnia",391,70,3,254,391.333333333333,461,331,300254,3,2,17
"217","Jessie Lim",6,274,17,28,"N",0,"Lose","N","Alex Tan",385,-111,2,-376,358,526,274,199624,2,2,35
"218","K Dorai Raja",6,340,16,27,"N",0,"Lose","N","Gabriel Cheang",464,-124,3,192,438.333333333333,563,340,300192,6,4,18
"219","Karen Richards",6,382,25,21,"N",1,"Win","N","Leon Tan",345,37,4,-98,386.5,457,342,399902,2,3,12
"220","Lee Cheong Cheng",6,445,5,20,"N",1,"Win","N","Marlon Prudencio",433,12,6,396,412.666666666667,499,150,600396,4,6,1
"221","Leon Tan",6,345,21,25,"N",0,"Lose","N","Karen Richards",382,-37,3,-17,422.666666666667,498,285,299983,3,3,22
"222","Marlon Prudencio",6,433,20,5,"N",0,"Lose","N","Lee Cheong Cheng",445,-12,5,269,443.5,518,366,500269,3,5,4
"223","Mary Morgan",6,150,40,34,"Y",1,"Win","N","Zz Bye",100,50,2,-209,321.666666666667,404,150,199791,5,4,32
"224","Muhd Fari Husada",6,335,30,39,"N",0,"Lose","N","Arul Inthirarajah",416,-81,1,-327,352.666666666667,419,263,99673,4,1,38
"225","Neo Wei Sheng",6,443,31,24,"N",1,"Win","N","Nicholas Hong",399,44,3,-94,412.333333333333,472,357,299906,3,3,24
"226","Nicholas Hong",6,399,24,31,"N",0,"Lose","N","Neo Wei Sheng",443,-44,2,-161,389.166666666667,422,325,199839,3,2,31
"227","Nigel Richards",6,569,32,1,"N",1,"Win","N","Tan Mun Ri",291,278,4,493,479.833333333333,578,372,400493,2,7,7
"228","Poh Ying Ming",6,281,11,19,"N",0,"Lose","N","Ricky Purnomo",566,-285,2,-214,382.166666666667,439,281,199786,3,5,33
"229","Ricky Purnomo",6,566,19,11,"N",1,"Win","N","Poh Ying Ming",281,285,3,346,400.166666666667,593,150,300346,2,4,15
"230","Ron Baginski",6,457,18,12,"N",1,"Win","N","Tay Jing En",429,28,4,63,448.833333333333,493,406,400063,2,5,11
"231","Shahrul Kamal",6,558,38,33,"N",1,"Win","N","Andri Prasetyo",249,309,3,-16,394.833333333333,558,280,299984,3,2,21
"232","Sharon Chia",6,219,14,36,"N",0,"Lose","N","Goh Jiang Pern",433,-214,0,-717,297.666666666667,337,219,-717,6,3,40
"233","Tan Mun Ri",6,291,1,32,"N",0,"Lose","N","Nigel Richards",569,-278,3,-155,366.333333333333,464,291,299845,3,3,25
"234","Tay Jing En",6,429,12,18,"N",0,"Lose","N","Ron Baginski",457,-28,3,12,408.166666666667,434,367,300012,6,3,20
"235","Tengku Asri",6,397,29,26,"N",1,"Win","N","Elizabeth Wok",349,48,3.5,-17,402.5,486,302,349983,3,2,13
"236","Theng Wai Mun",6,376,37,35,"N",1,"Win","N","Ananto Widodo",364,12,3,-361,278,376,150,299639,3,3,27
"237","Tony Sim",6,453,9,4,"N",1,"Win","N","J Goutham",412,41,5,416,469.666666666667,587,379,500416,3,4,3
"238","Yeo Kian Hung",6,414,2,8,"N",1,"Win","N","Alastair Richards",351,63,5,523,460.833333333333,556,401,500523,2,3,2
"239","Yong Jian Rong",6,388,23,10,"N",0,"Lose","N","Chew Han Ei",444,-56,3,28,410.833333333333,543,263,300028,1,3,19
"240","Zz Bye",6,100,34,40,"Y",0,"Lose","N","Mary Morgan",150,-50,0,-300,100,100,100,-300,16,-Inf,39
"241","Alastair Richards",7,500,23,2,"N",1,"Win","N","Chew Han Ei",307,193,5,631,472,511,351,500631,2,3,5
"242","Alex Tan",7,393,24,17,"N",1,"Win","N","Neo Wei Sheng",375,18,4,-22,391.571428571429,453,360,399978,3,8,16
"243","Ananto Widodo",7,384,28,37,"N",0,"Lose","N","Jessie Lim",481,-97,1,-296,330.428571428571,384,150,99704,4,1,38
"244","Andri Prasetyo",7,314,39,38,"N",0,"Lose","N","Muhd Fari Husada",449,-135,2,-775,293.857142857143,402,150,199225,4,2,37
"245","Andy Kurnia",7,452,35,6,"N",1,"Win","N","Theng Wai Mun",334,118,3.5,-262,391.857142857143,482,292,349738,2,2,20
"246","Arul Inthirarajah",7,417,14,30,"N",1,"Win","N","Goh Jiang Pern",326,91,3,-43,376.714285714286,498,199,299957,4,3,26
"247","Cheah Siu Hean",7,617,13,7,"N",1,"Win","N","Gan Yi En",369,248,4,614,466.571428571429,617,373,400614,2,3,10
"248","Chew Han Ei",7,307,2,23,"N",0,"Lose","N","Alastair Richards",500,-193,4,-44,404.857142857143,448,307,399956,2,3,17
"249","Dianne Ward",7,496,19,22,"N",1,"Win","N","Poh Ying Ming",320,176,3,-119,397,496,288,299881,2,3,28
"250","Elizabeth Wok",7,408,32,29,"N",1,"Win","N","Tan Mun Ri",405,3,4,-215,359.857142857143,408,299,399785,2,3,19
"251","Gabriel Cheang",7,362,3,16,"N",0,"Lose","N","Hubert Wee",518,-156,4,352,434.714285714286,505,355,400352,2,2,13
"252","Gan Yi En",7,369,7,13,"N",0,"Lose","N","Cheah Siu Hean",617,-248,3,28,431.428571428571,517,367,300028,3,2,23
"253","Goh Jiang Pern",7,326,30,14,"N",0,"Lose","N","Arul Inthirarajah",417,-91,2,-204,372.714285714286,433,257,199796,4,2,34
"254","Hubert Wee",7,518,16,3,"N",1,"Win","N","Gabriel Cheang",362,156,6,290,444.142857142857,518,393,600290,2,4,3
"255","J Goutham",7,344,1,9,"N",1,"Win","N","Nigel Richards",329,15,5,233,430.428571428571,536,344,500233,2,6,7
"256","Jeremy Khoo",7,488,27,15,"N",1,"Win","N","K Dorai Raja",385,103,4,357,405.142857142857,488,331,400357,3,2,12
"257","Jessie Lim",7,481,37,28,"N",1,"Win","N","Ananto Widodo",384,97,3,-279,375.571428571429,526,274,299721,2,2,31
"258","K Dorai Raja",7,385,15,27,"N",0,"Lose","N","Jeremy Khoo",488,-103,3,89,430.714285714286,563,340,300089,6,4,22
"259","Karen Richards",7,321,12,21,"N",0,"Lose","N","Ron Baginski",401,-80,4,-178,377.142857142857,457,321,399822,2,3,18
"260","Lee Cheong Cheng",7,256,8,20,"N",0,"Lose","N","Yeo Kian Hung",416,-160,6,236,390.285714285714,499,150,600236,4,6,4
"261","Leon Tan",7,390,33,25,"N",1,"Win","N","Shahrul Kamal",380,10,4,-7,418,498,285,399993,3,3,15
"262","Marlon Prudencio",7,510,4,5,"N",1,"Win","N","Tony Sim",476,34,6,303,453,518,366,600303,3,5,2
"263","Mary Morgan",7,491,31,34,"N",1,"Win","N","Nicholas Hong",321,170,3,-39,345.857142857143,491,150,299961,5,4,25
"264","Muhd Fari Husada",7,449,38,39,"N",1,"Win","N","Andri Prasetyo",314,135,2,-192,366.428571428571,449,263,199808,4,1,33
"265","Neo Wei Sheng",7,375,17,24,"N",0,"Lose","N","Alex Tan",393,-18,3,-112,407,472,357,299888,3,3,27
"266","Nicholas Hong",7,321,34,31,"N",0,"Lose","N","Mary Morgan",491,-170,2,-331,379.428571428571,422,321,199669,3,2,35
"267","Nigel Richards",7,329,9,1,"N",0,"Lose","N","J Goutham",344,-15,4,478,458.285714285714,578,329,400478,2,7,11
"268","Poh Ying Ming",7,320,22,19,"N",0,"Lose","N","Dianne Ward",496,-176,2,-390,373.285714285714,439,281,199610,3,5,36
"269","Ricky Purnomo",7,359,26,11,"N",0,"Lose","N","Tengku Asri",462,-103,3,243,394.285714285714,593,150,300243,2,4,21
"270","Ron Baginski",7,401,21,12,"N",1,"Win","N","Karen Richards",321,80,5,143,442,493,401,500143,2,5,8
"271","Shahrul Kamal",7,380,25,33,"N",0,"Lose","N","Leon Tan",390,-10,3,-26,392.714285714286,558,280,299974,3,2,24
"272","Sharon Chia",7,150,40,36,"Y",1,"Win","N","Zz Bye",100,50,1,-667,276.571428571429,337,150,99333,6,3,39
"273","Tan Mun Ri",7,405,29,32,"N",0,"Lose","N","Elizabeth Wok",408,-3,3,-158,371.857142857143,464,291,299842,3,3,29
"274","Tay Jing En",7,320,10,18,"N",0,"Lose","N","Yong Jian Rong",514,-194,3,-182,395.571428571429,434,320,299818,6,3,30
"275","Tengku Asri",7,462,11,26,"N",1,"Win","N","Ricky Purnomo",359,103,4.5,86,411,486,302,450086,3,2,9
"276","Theng Wai Mun",7,334,6,35,"N",0,"Lose","N","Andy Kurnia",452,-118,3,-479,286,376,150,299521,3,3,32
"277","Tony Sim",7,476,5,4,"N",0,"Lose","N","Marlon Prudencio",510,-34,5,382,470.571428571429,587,379,500382,3,4,6
"278","Yeo Kian Hung",7,416,20,8,"N",1,"Win","N","Lee Cheong Cheng",256,160,6,683,454.428571428571,556,401,600683,2,3,1
"279","Yong Jian Rong",7,514,18,10,"N",1,"Win","N","Tay Jing En",320,194,4,222,425.571428571429,543,263,400222,1,3,14
"280","Zz Bye",7,100,36,40,"Y",0,"Lose","N","Sharon Chia",150,-50,0,-350,100,100,100,-350,16,-Inf,40
"281","Alastair Richards",8,501,4,2,"N",1,"Win","N","Tony Sim",370,131,6,762,475.625,511,351,600762,2,3,3
"282","Alex Tan",8,458,25,17,"N",1,"Win","N","Leon Tan",347,111,5,89,399.875,458,360,500089,3,8,12
"283","Ananto Widodo",8,419,36,37,"N",1,"Win","N","Sharon Chia",295,124,2,-172,341.5,419,150,199828,4,1,36
"284","Andri Prasetyo",8,332,31,38,"N",0,"Lose","N","Nicholas Hong",450,-118,2,-893,298.625,402,150,199107,4,2,38
"285","Andy Kurnia",8,402,29,6,"N",1,"Win","N","Elizabeth Wok",398,4,4.5,-258,393.125,482,292,449742,2,2,15
"286","Arul Inthirarajah",8,412,33,30,"N",1,"Win","N","Shahrul Kamal",407,5,4,-38,381.125,498,199,399962,4,3,21
"287","Cheah Siu Hean",8,455,16,7,"N",1,"Win","N","Gabriel Cheang",404,51,5,665,465.125,617,373,500665,2,3,7
"288","Chew Han Ei",8,362,21,23,"N",0,"Lose","N","Karen Richards",495,-133,4,-177,399.5,448,307,399823,2,3,24
"289","Dianne Ward",8,363,24,22,"N",0,"Lose","N","Neo Wei Sheng",484,-121,3,-240,392.75,496,288,299760,2,3,32
"290","Elizabeth Wok",8,398,6,29,"N",0,"Lose","N","Andy Kurnia",402,-4,4,-219,364.625,408,299,399781,2,3,25
"291","Gabriel Cheang",8,404,7,16,"N",0,"Lose","N","Cheah Siu Hean",455,-51,4,301,430.875,505,355,400301,2,2,17
"292","Gan Yi En",8,354,34,13,"N",0,"Lose","N","Mary Morgan",427,-73,3,-45,421.75,517,354,299955,3,2,30
"293","Goh Jiang Pern",8,508,39,14,"N",1,"Win","N","Muhd Fari Husada",320,188,3,-16,389.625,508,257,299984,4,2,28
"294","Hubert Wee",8,409,20,3,"N",0,"Lose","N","Lee Cheong Cheng",422,-13,6,277,439.75,518,393,600277,2,4,5
"295","J Goutham",8,388,12,9,"N",0,"Lose","N","Ron Baginski",522,-134,5,99,425.125,536,344,500099,2,6,11
"296","Jeremy Khoo",8,417,10,15,"N",0,"Lose","N","Yong Jian Rong",489,-72,4,285,406.625,488,331,400285,3,2,18
"297","Jessie Lim",8,321,35,28,"N",0,"Lose","N","Theng Wai Mun",387,-66,3,-345,368.75,526,274,299655,2,2,35
"298","K Dorai Raja",8,441,11,27,"N",0,"Lose","N","Ricky Purnomo",505,-64,3,25,432,563,340,300025,6,4,27
"299","Karen Richards",8,495,23,21,"N",1,"Win","N","Chew Han Ei",362,133,5,-45,391.875,495,321,499955,2,3,13
"300","Lee Cheong Cheng",8,422,3,20,"N",1,"Win","N","Hubert Wee",409,13,7,249,394.25,499,150,700249,4,6,2
"301","Leon Tan",8,347,17,25,"N",0,"Lose","N","Alex Tan",458,-111,4,-118,409.125,498,285,399882,3,3,23
"302","Marlon Prudencio",8,470,8,5,"N",1,"Win","N","Yeo Kian Hung",355,115,7,418,455.125,518,366,700418,3,5,1
"303","Mary Morgan",8,427,13,34,"N",1,"Win","N","Gan Yi En",354,73,4,34,356,491,150,400034,5,4,19
"304","Muhd Fari Husada",8,320,14,39,"N",0,"Lose","N","Goh Jiang Pern",508,-188,2,-380,360.625,449,263,199620,4,1,37
"305","Neo Wei Sheng",8,484,22,24,"N",1,"Win","N","Dianne Ward",363,121,4,9,416.625,484,357,400009,3,3,20
"306","Nicholas Hong",8,450,38,31,"N",1,"Win","N","Andri Prasetyo",332,118,3,-213,388.25,450,321,299787,3,2,31
"307","Nigel Richards",8,502,26,1,"N",1,"Win","N","Tengku Asri",331,171,5,649,463.75,578,329,500649,2,7,8
"308","Poh Ying Ming",8,150,40,19,"Y",1,"Win","N","Zz Bye",100,50,3,-340,345.375,439,150,299660,3,5,34
"309","Ricky Purnomo",8,505,27,11,"N",1,"Win","N","K Dorai Raja",441,64,4,307,408.125,593,150,400307,2,4,16
"310","Ron Baginski",8,522,9,12,"N",1,"Win","N","J Goutham",388,134,6,277,452,522,401,600277,2,5,5
"311","Shahrul Kamal",8,407,30,33,"N",0,"Lose","N","Arul Inthirarajah",412,-5,3,-31,394.5,558,280,299969,3,2,29
"312","Sharon Chia",8,295,37,36,"N",0,"Lose","N","Ananto Widodo",419,-124,1,-791,278.875,337,150,99209,6,3,39
"313","Tan Mun Ri",8,341,18,32,"N",0,"Lose","N","Tay Jing En",442,-101,3,-259,368,464,291,299741,3,3,33
"314","Tay Jing En",8,442,32,18,"N",1,"Win","N","Tan Mun Ri",341,101,4,-81,401.375,442,320,399919,6,3,22
"315","Tengku Asri",8,331,1,26,"N",0,"Lose","N","Nigel Richards",502,-171,4.5,-85,401,486,302,449915,3,2,14
"316","Theng Wai Mun",8,387,28,35,"N",1,"Win","N","Jessie Lim",321,66,4,-413,298.625,387,150,399587,3,3,26
"317","Tony Sim",8,370,2,4,"N",0,"Lose","N","Alastair Richards",501,-131,5,251,458,587,370,500251,3,4,10
"318","Yeo Kian Hung",8,355,5,8,"N",0,"Lose","N","Marlon Prudencio",470,-115,6,568,442,556,355,600568,2,3,4
"319","Yong Jian Rong",8,489,15,10,"N",1,"Win","N","Jeremy Khoo",417,72,5,294,433.5,543,263,500294,1,3,9
"320","Zz Bye",8,100,19,40,"Y",0,"Lose","N","Poh Ying Ming",150,-50,0,-400,100,100,100,-400,16,-Inf,40
"321","Alastair Richards",9,396,5,2,"N",0,"Lose","N","Marlon Prudencio",500,-104,6,658,466.777777777778,511,351,600658,2,3,6
"322","Alex Tan",9,434,9,17,"N",1,"Win","N","J Goutham",363,71,6,160,403.666666666667,458,360,600160,3,8,9
"323","Ananto Widodo",9,363,19,37,"N",0,"Lose","N","Poh Ying Ming",449,-86,2,-258,343.888888888889,419,150,199742,4,1,38
"324","Andri Prasetyo",9,422,36,38,"N",1,"Win","N","Sharon Chia",307,115,3,-778,312.333333333333,422,150,299222,4,2,37
"325","Andy Kurnia",9,346,11,6,"N",0,"Lose","N","Ricky Purnomo",509,-163,4.5,-421,387.888888888889,482,292,449579,2,2,21
"326","Arul Inthirarajah",9,352,18,30,"N",0,"Lose","N","Tay Jing En",452,-100,4,-138,377.888888888889,498,199,399862,4,3,27
"327","Cheah Siu Hean",9,400,1,7,"N",0,"Lose","N","Nigel Richards",413,-13,5,652,457.888888888889,617,373,500652,2,3,11
"328","Chew Han Ei",9,456,35,23,"N",1,"Win","N","Theng Wai Mun",297,159,5,-18,405.777777777778,456,307,499982,2,3,18
"329","Dianne Ward",9,480,28,22,"N",1,"Win","N","Jessie Lim",329,151,4,-89,402.444444444444,496,288,399911,2,3,25
"330","Elizabeth Wok",9,441,25,29,"N",1,"Win","N","Leon Tan",425,16,5,-203,373.111111111111,441,299,499797,2,3,19
"331","Gabriel Cheang",9,517,15,16,"N",1,"Win","N","Jeremy Khoo",306,211,5,512,440.444444444444,517,355,500512,2,2,12
"332","Gan Yi En",9,396,32,13,"N",0,"Lose","N","Tan Mun Ri",407,-11,3,-56,418.888888888889,517,354,299944,3,2,33
"333","Goh Jiang Pern",9,611,27,14,"N",1,"Win","N","K Dorai Raja",329,282,4,266,414.222222222222,611,257,400266,4,2,22
"334","Hubert Wee",9,324,8,3,"N",0,"Lose","N","Yeo Kian Hung",364,-40,6,237,426.888888888889,518,324,600237,2,4,8
"335","J Goutham",9,363,17,9,"N",0,"Lose","N","Alex Tan",434,-71,5,28,418.222222222222,536,344,500028,2,6,16
"336","Jeremy Khoo",9,306,16,15,"N",0,"Lose","N","Gabriel Cheang",517,-211,4,74,395.444444444444,488,306,400074,3,2,23
"337","Jessie Lim",9,329,22,28,"N",0,"Lose","N","Dianne Ward",480,-151,3,-496,364.333333333333,526,274,299504,2,2,36
"338","K Dorai Raja",9,329,14,27,"N",0,"Lose","N","Goh Jiang Pern",611,-282,3,-257,420.555555555556,563,329,299743,6,4,34
"339","Karen Richards",9,418,26,21,"N",1,"Win","N","Tengku Asri",322,96,6,51,394.777777777778,495,321,600051,2,3,10
"340","Lee Cheong Cheng",9,432,12,20,"N",0,"Lose","N","Ron Baginski",500,-68,7,181,398.444444444444,499,150,700181,4,6,4
"341","Leon Tan",9,425,29,25,"N",0,"Lose","N","Elizabeth Wok",441,-16,4,-134,410.888888888889,498,285,399866,3,3,26
"342","Marlon Prudencio",9,500,2,5,"N",1,"Win","N","Alastair Richards",396,104,8,522,460.111111111111,518,366,800522,3,5,1
"343","Mary Morgan",9,451,24,34,"N",1,"Win","N","Neo Wei Sheng",449,2,5,36,366.555555555556,491,150,500036,5,4,15
"344","Muhd Fari Husada",9,150,40,39,"Y",1,"Win","N","Zz Bye",100,50,3,-330,337.222222222222,449,150,299670,4,1,35
"345","Neo Wei Sheng",9,449,34,24,"N",0,"Lose","N","Mary Morgan",451,-2,4,7,420.222222222222,484,357,400007,3,3,24
"346","Nicholas Hong",9,432,33,31,"N",1,"Win","N","Shahrul Kamal",425,7,4,-206,393.111111111111,450,321,399794,3,2,28
"347","Nigel Richards",9,413,7,1,"N",1,"Win","N","Cheah Siu Hean",400,13,6,662,458.111111111111,578,329,600662,2,7,5
"348","Poh Ying Ming",9,449,37,19,"N",1,"Win","N","Ananto Widodo",363,86,4,-254,356.888888888889,449,150,399746,3,5,30
"349","Ricky Purnomo",9,509,6,11,"N",1,"Win","N","Andy Kurnia",346,163,5,470,419.333333333333,593,150,500470,2,4,13
"350","Ron Baginski",9,500,20,12,"N",1,"Win","N","Lee Cheong Cheng",432,68,7,345,457.333333333333,522,401,700345,2,5,3
"351","Shahrul Kamal",9,425,31,33,"N",0,"Lose","N","Nicholas Hong",432,-7,3,-38,397.888888888889,558,280,299962,3,2,32
"352","Sharon Chia",9,307,38,36,"N",0,"Lose","N","Andri Prasetyo",422,-115,1,-906,282,337,150,99094,6,3,39
"353","Tan Mun Ri",9,407,13,32,"N",1,"Win","N","Gan Yi En",396,11,4,-248,372.333333333333,464,291,399752,3,3,29
"354","Tay Jing En",9,452,30,18,"N",1,"Win","N","Arul Inthirarajah",352,100,5,19,407,452,320,500019,6,3,17
"355","Tengku Asri",9,322,21,26,"N",0,"Lose","N","Karen Richards",418,-96,4.5,-181,392.222222222222,486,302,449819,3,2,20
"356","Theng Wai Mun",9,297,23,35,"N",0,"Lose","N","Chew Han Ei",456,-159,4,-572,298.444444444444,387,150,399428,3,3,31
"357","Tony Sim",9,451,10,4,"N",0,"Lose","N","Yong Jian Rong",536,-85,5,166,457.222222222222,587,370,500166,3,4,14
"358","Yeo Kian Hung",9,364,3,8,"N",1,"Win","N","Hubert Wee",324,40,7,608,433.333333333333,556,355,700608,2,3,2
"359","Yong Jian Rong",9,536,4,10,"N",1,"Win","N","Tony Sim",451,85,6,379,444.888888888889,543,263,600379,1,3,7
"360","Zz Bye",9,100,39,40,"Y",0,"Lose","N","Muhd Fari Husada",150,-50,0,-450,100,100,100,-450,16,-Inf,40
"361","Alastair Richards",10,475,20,2,"N",1,"Win","N","Lee Cheong Cheng",371,104,7,762,467.6,511,351,700762,2,3,3
"362","Alex Tan",10,413,21,17,"N",1,"Win","N","Karen Richards",314,99,7,259,404.6,458,360,700259,3,8,7
"363","Ananto Widodo",10,332,38,37,"N",0,"Lose","N","Andri Prasetyo",415,-83,2,-341,342.7,419,150,199659,4,1,38
"364","Andri Prasetyo",10,415,37,38,"N",1,"Win","N","Ananto Widodo",332,83,4,-695,322.6,422,150,399305,4,2,36
"365","Andy Kurnia",10,481,24,6,"N",1,"Win","N","Neo Wei Sheng",355,126,5.5,-295,397.2,482,292,549705,2,2,17
"366","Arul Inthirarajah",10,507,31,30,"N",1,"Win","N","Nicholas Hong",297,210,5,72,390.8,507,199,500072,4,3,20
"367","Cheah Siu Hean",10,562,11,7,"N",1,"Win","N","Ricky Purnomo",339,223,6,875,468.3,617,373,600875,2,3,9
"368","Chew Han Ei",10,374,18,23,"N",0,"Lose","N","Tay Jing En",498,-124,5,-142,402.6,456,307,499858,2,3,24
"369","Dianne Ward",10,419,25,22,"N",1,"Win","N","Leon Tan",410,9,5,-80,404.1,496,288,499920,2,3,23
"370","Elizabeth Wok",10,507,14,29,"N",1,"Win","N","Goh Jiang Pern",335,172,6,-31,386.5,507,299,599969,2,3,14
"371","Gabriel Cheang",10,412,4,16,"N",0,"Lose","N","Tony Sim",434,-22,5,490,437.6,517,355,500490,2,2,18
"372","Gan Yi En",10,604,39,13,"N",1,"Win","N","Muhd Fari Husada",208,396,4,340,437.4,604,354,400340,3,2,25
"373","Goh Jiang Pern",10,335,29,14,"N",0,"Lose","N","Elizabeth Wok",507,-172,4,94,406.3,611,257,400094,4,2,26
"374","Hubert Wee",10,448,10,3,"N",1,"Win","N","Yong Jian Rong",365,83,7,320,429,518,324,700320,2,4,5
"375","J Goutham",10,409,34,9,"N",1,"Win","N","Mary Morgan",348,61,6,89,417.3,536,344,600089,2,6,13
"376","Jeremy Khoo",10,371,26,15,"N",0,"Lose","N","Tengku Asri",428,-57,4,17,393,488,306,400017,3,2,28
"377","Jessie Lim",10,150,40,28,"Y",1,"Win","N","Zz Bye",100,50,4,-446,342.9,526,150,399554,2,2,33
"378","K Dorai Raja",10,460,36,27,"N",1,"Win","N","Sharon Chia",270,190,4,-67,424.5,563,329,399933,6,4,29
"379","Karen Richards",10,314,17,21,"N",0,"Lose","N","Alex Tan",413,-99,6,-48,386.7,495,314,599952,2,3,15
"380","Lee Cheong Cheng",10,371,2,20,"N",0,"Lose","N","Alastair Richards",475,-104,7,77,395.7,499,150,700077,4,6,8
"381","Leon Tan",10,410,22,25,"N",0,"Lose","N","Dianne Ward",419,-9,4,-143,410.8,498,285,399857,3,3,31
"382","Marlon Prudencio",10,402,12,5,"N",1,"Win","N","Ron Baginski",349,53,9,575,454.3,518,366,900575,3,5,1
"383","Mary Morgan",10,348,9,34,"N",0,"Lose","N","J Goutham",409,-61,5,-25,364.7,491,150,499975,5,4,22
"384","Muhd Fari Husada",10,208,13,39,"N",0,"Lose","N","Gan Yi En",604,-396,3,-726,324.3,449,150,299274,4,1,37
"385","Neo Wei Sheng",10,355,6,24,"N",0,"Lose","N","Andy Kurnia",481,-126,4,-119,413.7,484,355,399881,3,3,30
"386","Nicholas Hong",10,297,30,31,"N",0,"Lose","N","Arul Inthirarajah",507,-210,4,-416,383.5,450,297,399584,3,2,32
"387","Nigel Richards",10,449,8,1,"N",1,"Win","N","Yeo Kian Hung",299,150,7,812,457.2,578,329,700812,2,7,2
"388","Poh Ying Ming",10,570,32,19,"N",1,"Win","N","Tan Mun Ri",261,309,5,55,378.2,570,150,500055,3,5,21
"389","Ricky Purnomo",10,339,7,11,"N",0,"Lose","N","Cheah Siu Hean",562,-223,5,247,411.3,593,150,500247,2,4,19
"390","Ron Baginski",10,349,5,12,"N",0,"Lose","N","Marlon Prudencio",402,-53,7,292,446.5,522,349,700292,2,5,6
"391","Shahrul Kamal",10,436,35,33,"N",1,"Win","N","Theng Wai Mun",339,97,4,59,401.7,558,280,400059,3,2,27
"392","Sharon Chia",10,270,27,36,"N",0,"Lose","N","K Dorai Raja",460,-190,1,-1096,280.8,337,150,98904,6,3,39
"393","Tan Mun Ri",10,261,19,32,"N",0,"Lose","N","Poh Ying Ming",570,-309,4,-557,361.2,464,261,399443,3,3,34
"394","Tay Jing En",10,498,23,18,"N",1,"Win","N","Chew Han Ei",374,124,6,143,416.1,498,320,600143,6,3,12
"395","Tengku Asri",10,428,15,26,"N",1,"Win","N","Jeremy Khoo",371,57,5.5,-124,395.8,486,302,549876,3,2,16
"396","Theng Wai Mun",10,339,33,35,"N",0,"Lose","N","Shahrul Kamal",436,-97,4,-669,302.5,387,150,399331,3,3,35
"397","Tony Sim",10,434,16,4,"N",1,"Win","N","Gabriel Cheang",412,22,6,188,454.9,587,370,600188,3,4,11
"398","Yeo Kian Hung",10,299,1,8,"N",0,"Lose","N","Nigel Richards",449,-150,7,458,419.9,556,299,700458,2,3,4
"399","Yong Jian Rong",10,365,3,10,"N",0,"Lose","N","Hubert Wee",448,-83,6,296,436.9,543,263,600296,1,3,10
"400","Zz Bye",10,100,28,40,"Y",0,"Lose","N","Jessie Lim",150,-50,0,-500,100,100,100,-500,16,-Inf,40
"401","Alastair Richards",11,482,3,2,"N",1,"Win","N","Hubert Wee",344,138,8,900,468.909090909091,511,351,800900,2,3,2
"402","Alex Tan",11,493,20,17,"N",1,"Win","N","Lee Cheong Cheng",447,46,8,305,412.636363636364,493,360,800305,3,8,5
"403","Ananto Widodo",11,411,39,37,"N",1,"Win","N","Muhd Fari Husada",408,3,3,-338,348.909090909091,419,150,299662,4,1,37
"404","Andri Prasetyo",11,297,32,38,"N",0,"Lose","N","Tan Mun Ri",457,-160,4,-855,320.272727272727,422,150,399145,4,2,36
"405","Andy Kurnia",11,512,16,6,"N",1,"Win","N","Gabriel Cheang",321,191,6.5,-104,407.636363636364,512,292,649896,2,2,13
"406","Arul Inthirarajah",11,459,11,30,"N",0,"Lose","N","Ricky Purnomo",461,-2,5,70,397,507,199,500070,4,3,24
