"bingo","score","player","round","phoney","length","probability","playability"
"RADIATES",66,"Mohammed Ameen",13,FALSE,8,379,2735
"DOWNIES",69,"Shukra Raj Gurung",14,TRUE,7,NA,NA
"DORSING",68,"Valliamah Thambiaya",14,TRUE,7,NA,NA
"ROOTING",62,"Lee Chee Meng",14,FALSE,7,3556,4291
"ENLISTS",73,"Lee Chee Meng",14,FALSE,7,7090,8355
"SOARING",62,"Lee Chee Meng",14,FALSE,7,1074,4525
"LITERATE",113,"Mohammed Ameen",14,FALSE,8,642,608
"RANDIEST",70,"Mohammed Ameen",15,FALSE,8,82,386
"KNEELER",64,"Nicholas Lee",15,FALSE,7,16464,19071
"LATEENS",75,"Shahrul Kamal",15,FALSE,7,742,2704
"TRAINED",98,"Shahrul Kamal",15,FALSE,7,21,301
"ATONIES",66,"S Shantikumar",15,FALSE,7,11,3
"ONLIEST",65,"Shukra Raj Gurung",16,FALSE,7,227,324
"GOONIER",87,"Shahrul Kamal",16,FALSE,7,928,270
"AFFIXERS",91,"Shahrul Kamal",16,FALSE,8,31036,29219
"KETTLES",79,"Shahrul Kamal",16,FALSE,7,22496,21917
"IRONIES",70,"Nicholas Lee",16,FALSE,7,307,1330
