Round,Player,Blank,J,Q,X,Z,S,Overtime,Minute,Second
14,S Shanthikumar,1,0,0,1,1,3,N,4,0
14,Shahrul Kamal,,,,,,,,,
14,Nicholas Lee,,,,,,,,,
15,Valliammah Thambiaya,0,1,1,1,1,0,,,
15,Khumraj Thapa,2,0,0,0,0,4,,,
15,Mohammed Ameen,2,0,0,1,1,2,N,11,16
15,Nicholas Lee,0,1,1,0,0,2,N,11,54
15,Shahrul Kamal,1,,,,,,,,
15,S Shanthikumar,1,,,,,,,,
15,Shukra Raj Gurung,1,1,1,0,1,2,N,4,7
15,Lee Chee Meng,1,0,0,1,0,2,N,4,12
16,Valliammah Thambiaya,,,,,,,,,
16,Lee Chee Meng,,,,,,,,,
16,Shukra Raj Gurung,2,0,1,0,0,2,,,
16,S Shanthikumar,0,1,0,1,1,0,,,
16,Mohammed Ameen,1,,,,,,,,
16,Khumraj Thapa,1,,,,,,,,
16,Shahrul Kamal,2,1,1,1,1,3,N,3,0
16,Nicholas Lee,0,0,0,0,0,1,N,4,0
