country,display.name,tou.name,sa.rating.name,sa.h2h.name,sa.rating.before,sa.rating.after,Change
Nepal,Shukra Raj Gurung,Shukra Raj Gurung,"Gurung, Shukra Raj (NP)",Shukra Raj Gurung,1546,1750,204
Nepal,Khumraj Thapa,Khumraj Thapa,"Balal, Khumraj Thapa (NP)",Khumraj Balal,1473,1574,101
Singapore,Mohammed Ameen,Mohammed Ameen,Mohammed Ameen,Mohammed Ameen,1514,1563,49
Singapore,Shahrul Kamal,Shahrul Kamal,Shahrul Kamal,Shahrul Kamal,1494,1526,32
Singapore,Nicholas Lee,Nicholas Lee,"Lee Jun Peng, Nicholas",Nicholas Lee,1517,1485,-32
Singapore,Valliammah Thambiaya,Valliammah Thambiaya,,Valliammah Thamb,0,,
Singapore,Lee Chee Meng,Lee Chee Meng,Lee Chee Meng,Lee Chee Meng,1565,1486,-79
Singapore,S Shanthikumar,S Shanthikumar,,S Shanthikumar,0,,
