"player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","blank","j","q","x","z","s","overtime","minute","second","power.tiles","bingo.count","bingo.points"
"Jeremy Khoo",3,381,12,14,"N",0,"Lose","Y","Gabriel Cheang",445,-64,1,0,1,1,1,2,"N",10,0,6,1,122
"Tay Jing En",3,381,3,15,"N",0,"Lose","Y","Marlon Prudencio",447,-66,1,1,1,1,0,2,"N",8,53,6,1,115
"Leon Tan",3,517,10,16,"N",1,"Win","Y","Yong Jian Rong",355,162,2,0,1,0,1,4,"N",4,18,8,3,234
"Cheah Siu Hean",4,426,7,1,"N",0,"Lose","Y","Lee Guan Hui",460,-34,0,0,1,1,1,2,"N",13,11,5,2,163
"Hubert Wee",4,405,9,2,"N",0,"Lose","Y","Andy Kurnia",439,-34,2,1,1,0,1,1,"N",4,52,6,2,152
"Marlon Prudencio",4,475,5,3,"N",1,"Win","Y","Michael Tang",376,99,2,0,0,0,1,4,"N",6,52,7,4,285
"Tony Sim",4,431,11,4,"N",1,"Win","Y","Shim Yen Nee",385,46,1,0,1,1,1,3,"N",7,4,7,2,143
"Michael Tang",4,376,3,5,"N",0,"Lose","N","Marlon Prudencio",475,-99,0,1,1,1,0,0,"N",4,52,3,1,83
"Lim Li Wei",4,366,13,6,"N",0,"Lose","Y","Lee Cheong Cheng",478,-112,1,0,1,0,1,3,"N",0,44,6,1,70
"Lee Guan Hui",4,460,1,7,"N",1,"Win","N","Cheah Siu Hean",426,34,2,1,0,0,0,2,"N",4,14,5,4,288
"J Jeyaseelan",4,490,16,8,"N",1,"Win","Y","Leon Tan",320,170,2,1,0,0,1,2,"N",0,35,6,0,0
"Andy Kurnia",4,439,2,9,"N",1,"Win","N","Hubert Wee",405,34,0,0,0,1,0,3,"N",2,30,4,2,150
"Yong Jian Rong",4,466,14,10,"N",0,"Lose","Y","Jeremy Khoo",513,-47,0,0,1,1,0,0,"N",0,30,2,2,157
"Shim Yen Nee",4,385,4,11,"N",0,"Lose","N","Tony Sim",431,-46,1,1,0,0,0,1,"N",7,27,3,2,167
"Gabriel Cheang",4,530,15,12,"N",1,"Win","Y","Tay Jing En",428,102,1,0,0,1,1,1,"N",4,58,4,2,209
"Lee Cheong Cheng",4,478,6,13,"N",1,"Win","N","Lim Li Wei",366,112,1,1,0,1,0,1,"N",1,26,4,3,225
"Jeremy Khoo",4,513,10,14,"N",1,"Win","N","Yong Jian Rong",466,47,2,1,0,0,1,4,"N",1,54,8,2,150
"Tay Jing En",4,428,12,15,"N",0,"Lose","N","Gabriel Cheang",530,-102,1,1,1,0,0,3,"N",11,42,6,3,238
"Leon Tan",4,320,8,16,"N",0,"Lose","N","J Jeyaseelan",490,-170,0,0,1,1,0,2,"N",14,0,4,0,0
"Cheah Siu Hean",5,423,9,1,"N",0,"Lose","N","Andy Kurnia",488,-65,0,1,0,1,1,3,"N",15,12,6,1,72
"Hubert Wee",5,580,11,2,"N",1,"Win","N","Shim Yen Nee",333,247,1,1,0,1,1,2,"",NA,NA,6,2,155
"Marlon Prudencio",5,481,7,3,"N",1,"Win","N","Lee Guan Hui",410,71,1,0,0,0,1,3,"N",9,12,5,3,241
"Tony Sim",5,596,13,4,"N",1,"Win","N","Lee Cheong Cheng",402,194,1,1,1,1,0,3,"N",3,11,7,4,349
"Michael Tang",5,368,15,5,"N",0,"Lose","Y","Tay Jing En",437,-69,0,1,1,1,0,2,"N",4,50,5,1,68
"Lim Li Wei",5,343,16,6,"N",1,"Win","N","Leon Tan",298,45,1,1,1,0,0,1,"Y",1,59,4,0,0
"Lee Guan Hui",5,410,3,7,"N",0,"Lose","Y","Marlon Prudencio",481,-71,1,1,1,1,0,1,"N",2,18,5,2,137
"J Jeyaseelan",5,415,14,8,"N",1,"Win","N","Jeremy Khoo",327,88,0,1,1,1,0,3,"N",3,5,6,1,74
"Andy Kurnia",5,488,1,9,"N",1,"Win","Y","Cheah Siu Hean",423,65,2,0,1,0,0,1,"N",0,45,4,2,237
"Yong Jian Rong",5,442,12,10,"N",1,"Win","N","Gabriel Cheang",351,91,1,1,0,0,0,2,"N",3,27,4,2,155
"Shim Yen Nee",5,333,2,11,"N",0,"Lose","Y","Hubert Wee",580,-247,1,0,1,0,0,2,"",NA,NA,4,2,146
"Gabriel Cheang",5,351,10,12,"N",0,"Lose","Y","Yong Jian Rong",442,-91,1,0,1,1,1,2,"N",0,4,6,0,0
