"player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","blank","j","q","x","z","s","overtime","minute","second","power.tiles","bingo.count","bingo.points"
"Marlon Prudencio",13,434,8,3,"N",0.5,"Draw","N","J Jeyaseelan",434,0,1,0,1,1,1,3,"N",0,26,7,2,154
"Tony Sim",13,434,2,4,"N",0,"Lose","Y","Hubert Wee",465,-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,209
"Michael Tang",13,296,10,5,"N",0,"Lose","N","Yong Jian Rong",529,-233,1,1,0,0,1,1,"N",0,32,4,0,0
"Lim Li Wei",13,384,1,6,"N",0,"Lose","Y","Cheah Siu Hean",498,-114,1,0,0,0,1,2,"Y",1,5,4,2,137
"Lee Guan Hui",13,392,12,7,"N",0,"Lose","N","Gabriel Cheang",444,-52,2,0,1,1,1,2,"N",1,4,7,2,130
"J Jeyaseelan",13,434,3,8,"N",0.5,"Draw","Y","Marlon Prudencio",434,0,1,1,0,0,0,1,"N",0,5,3,2,138
"Andy Kurnia",13,423,14,9,"N",0,"Lose","N","Jeremy Khoo",438,-15,1,1,0,1,0,1,"N",2,41,4,2,193
"Yong Jian Rong",13,529,5,10,"N",1,"Win","Y","Michael Tang",296,233,1,0,1,1,0,3,"N",9,23,6,3,242
"Yong Jian Rong",13,529,5,10,"N",1,"Win","Y","Michael Tang",296,233,1,1,1,0,0,2,"N",10,47,5,3,242
"Shim Yen Nee",13,423,16,11,"N",1,"Win","N","Leon Tan",421,2,1,1,0,0,0,1,"N",1,30,3,2,151
"Gabriel Cheang",13,444,7,12,"N",1,"Win","Y","Lee Guan Hui",392,52,0,1,0,0,0,2,"N",8,46,3,2,153
"Lee Cheong Cheng",13,520,15,13,"N",1,"Win","Y","Tay Jing En",254,266,1,1,1,1,1,2,"N",9,32,7,3,234
"Jeremy Khoo",13,438,9,14,"N",1,"Win","Y","Andy Kurnia",423,15,1,0,1,0,1,3,"N",7,55,6,2,159
"Tay Jing En",13,254,13,15,"N",0,"Lose","N","Lee Cheong Cheng",520,-266,1,0,0,0,0,2,"N",10,46,3,1,80
"Leon Tan",13,421,11,16,"N",0,"Lose","Y","Shim Yen Nee",423,-2,1,0,1,1,1,3,"N",10,8,7,1,80
"Cheah Siu Hean",14,446,4,1,"N",0,"Lose","Y","Tony Sim",473,-27,0,0,0,0,0,3,"N",11,33,3,2,158
"Hubert Wee",14,522,15,2,"N",1,"Win","N","Tay Jing En",334,188,1,1,0,0,1,2,"N",7,0,5,3,238
"Marlon Prudencio",14,444,6,3,"N",0,"Lose","Y","Lim Li Wei",568,-124,1,1,1,0,1,2,"N",0,3,6,2,146
"Tony Sim",14,473,1,4,"N",1,"Win","N","Cheah Siu Hean",446,27,2,1,1,1,1,1,"N",0,16,7,2,148
"Michael Tang",14,379,8,5,"N",0,"Lose","Y","J Jeyaseelan",543,-164,NA,1,0,1,1,3,"N",5,12,NA,1,73
"Lim Li Wei",14,568,3,6,"N",1,"Win","N","Marlon Prudencio",444,124,1,0,0,1,0,2,"N",4,37,4,4,352
"Lee Guan Hui",14,460,10,7,"N",1,"Win","Y","Yong Jian Rong",340,120,1,0,0,0,0,2,"",NA,NA,3,2,156
"J Jeyaseelan",14,543,5,8,"N",1,"Win","N","Michael Tang",379,164,NA,0,1,0,0,1,"Y",1,0,NA,4,301
"Andy Kurnia",14,411,12,9,"N",0,"Lose","Y","Gabriel Cheang",520,-109,0,1,0,1,0,1,"N",4,25,3,1,64
"Yong Jian Rong",14,340,7,10,"N",0,"Lose","N","Lee Guan Hui",460,-120,1,1,1,1,1,2,"",NA,NA,7,1,59
"Shim Yen Nee",14,507,14,11,"N",1,"Win","Y","Jeremy Khoo",253,254,2,0,0,1,0,3,"N",5,9,6,3,230
"Gabriel Cheang",14,520,9,12,"N",1,"Win","N","Andy Kurnia",411,109,2,0,1,0,1,3,"N",3,30,7,3,235
"Lee Cheong Cheng",14,347,16,13,"N",0,"Lose","Y","Leon Tan",467,-120,0,1,1,1,0,0,"N",2,58,3,0,0
"Jeremy Khoo",14,253,11,14,"N",0,"Lose","N","Shim Yen Nee",507,-254,0,1,1,0,1,1,"N",5,4,4,0,0
"Tay Jing En",14,334,2,15,"N",0,"Lose","Y","Hubert Wee",522,-188,1,0,1,1,0,2,"N",4,29,5,1,69
"Leon Tan",14,467,13,16,"N",1,"Win","N","Lee Cheong Cheng",347,120,2,0,0,0,1,4,"N",12,38,7,4,280
"Cheah Siu Hean",15,288,2,1,"N",0,"Lose","N","Hubert Wee",508,-220,0,0,0,0,0,1,"N",15,8,1,1,73
"Hubert Wee",15,508,1,2,"N",1,"Win","Y","Cheah Siu Hean",288,220,2,1,1,1,1,3,"N",4,8,9,3,218
"Marlon Prudencio",15,409,4,3,"N",1,"Win","N","Tony Sim",325,84,1,1,1,0,1,3,"N",1,14,7,1,83
"Tony Sim",15,325,3,4,"N",0,"Lose","Y","Marlon Prudencio",409,-84,1,0,0,1,0,1,"N",0,34,3,0,0
"Michael Tang",15,425,6,5,"N",0,"Lose","N","Lim Li Wei",445,-20,1,0,0,0,1,2,"N",0,12,4,2,161
"Lim Li Wei",15,445,5,6,"N",1,"Win","Y","Michael Tang",425,20,1,1,1,1,0,2,"N",0,51,6,2,153
"Lee Guan Hui",15,450,8,7,"N",1,"Win","N","J Jeyaseelan",297,153,2,1,0,1,1,1,"N",1,59,6,2,160
"J Jeyaseelan",15,297,7,8,"N",0,"Lose","Y","Lee Guan Hui",450,-153,0,0,1,0,0,3,"N",9,25,4,0,0
"Andy Kurnia",15,492,10,9,"N",1,"Win","N","Yong Jian Rong",318,174,2,1,0,1,1,1,"N",4,58,6,3,244
"Yong Jian Rong",15,318,9,10,"N",0,"Lose","Y","Andy Kurnia",492,-174,1,0,1,0,0,3,"N",15,19,5,0,0
"Shim Yen Nee",15,455,12,11,"N",1,"Win","N","Gabriel Cheang",324,131,2,0,0,0,0,2,"N",8,34,4,3,235
"Gabriel Cheang",15,324,11,12,"N",0,"Lose","Y","Shim Yen Nee",455,-131,0,1,1,1,1,2,"N",0,43,6,0,0
"Lee Cheong Cheng",15,406,14,13,"N",0,"Lose","N","Jeremy Khoo",546,-140,1,1,0,0,0,0,"N",1,44,2,2,155
"Jeremy Khoo",15,546,13,14,"N",1,"Win","Y","Lee Cheong Cheng",406,140,2,0,0,1,1,4,"N",1,8,8,4,320
"Tay Jing En",15,405,16,15,"N",0,"Lose","N","Leon Tan",430,-25,1,0,0,0,1,2,"N",6,7,4,1,84
"Leon Tan",15,430,15,16,"N",1,"Win","Y","Tay Jing En",405,25,1,1,1,1,0,2,"N",7,38,6,2,141
"Cheah Siu Hean",16,363,4,1,"N",0,"Lose","N","Tony Sim",514,-151,0,0,1,0,1,2,"N",17,4,4,2,154
"Hubert Wee",16,337,5,2,"N",0,"Lose","Y","Michael Tang",356,-19,1,1,1,0,0,2,"N",0,5,5,1,86
"Marlon Prudencio",16,462,6,3,"N",1,"Win","N","Lim Li Wei",424,38,0,0,1,0,0,2,"N",2,23,3,3,243
"Tony Sim",16,514,1,4,"N",1,"Win","Y","Cheah Siu Hean",363,151,2,1,0,1,0,2,"N",1,33,6,4,334
"Michael Tang",16,356,2,5,"N",1,"Win","N","Hubert Wee",337,19,1,0,0,1,1,2,"N",0,52,5,1,77
"Lim Li Wei",16,424,3,6,"N",0,"Lose","Y","Marlon Prudencio",462,-38,2,1,0,1,1,2,"N",0,23,7,1,83
"Lee Guan Hui",16,475,11,7,"N",1,"Win","Y","Shim Yen Nee",415,60,1,0,1,1,1,1,"N",1,30,5,2,137
"J Jeyaseelan",16,421,12,8,"N",0,"Lose","N","Gabriel Cheang",442,-21,1,1,1,0,1,2,"N",0,5,6,1,83
"Andy Kurnia",16,444,10,9,"N",1,"Win","N","Yong Jian Rong",377,67,2,1,0,1,1,2,"N",0,11,7,2,129
"Yong Jian Rong",16,377,9,10,"N",0,"Lose","Y","Andy Kurnia",444,-67,0,0,1,0,0,2,"N",4,19,3,0,0
"Shim Yen Nee",16,415,7,11,"N",0,"Lose","N","Lee Guan Hui",475,-60,1,1,0,0,0,3,"N",0,6,5,3,260
"Gabriel Cheang",16,442,8,12,"N",1,"Win","Y","J Jeyaseelan",421,21,1,0,0,1,0,2,"N",9,47,4,2,133
"Lee Cheong Cheng",16,453,16,13,"N",1,"Win","N","Leon Tan",406,47,1,1,0,1,1,2,"N",0,12,6,2,133
"Jeremy Khoo",16,339,15,14,"N",0,"Lose","Y","Tay Jing En",407,-68,0,1,0,0,0,2,"N",0,21,3,0,0
"Tay Jing En",16,407,14,15,"N",1,"Win","N","Jeremy Khoo",339,68,2,0,1,1,1,2,"N",5,8,7,1,74
"Leon Tan",16,406,13,16,"N",0,"Lose","Y","Lee Cheong Cheng",453,-47,1,0,1,0,0,2,"N",10,56,4,2,142
"Cheah Siu Hean",17,337,4,1,"N",0,"Lose","Y","Tony Sim",378,-41,0,0,1,1,0,1,"N",12,21,3,0,0
"Hubert Wee",17,544,6,2,"N",1,"Win","N","Lim Li Wei",415,129,1,1,1,0,0,2,"N",7,35,5,3,237
"Marlon Prudencio",17,404,5,3,"N",1,"Win","Y","Michael Tang",345,59,1,0,1,1,1,1,"",NA,NA,5,1,64
"Tony Sim",17,378,1,4,"N",1,"Win","N","Cheah Siu Hean",337,41,2,1,0,0,1,3,"Y",2,16,7,2,150
"Michael Tang",17,345,3,5,"N",0,"Lose","N","Marlon Prudencio",404,-59,1,1,0,0,0,3,"",NA,NA,5,1,63
"Lim Li Wei",17,415,2,6,"N",0,"Lose","Y","Hubert Wee",544,-129,1,0,0,1,1,2,"N",4,36,5,2,158
"Lim Li Wei",17,415,2,6,"N",0,"Lose","Y","Hubert Wee",544,-129,0,0,0,0,1,2,"N",2,48,3,2,158
"Lee Guan Hui",17,416,13,7,"N",1,"Win","N","Lee Cheong Cheng",388,28,0,1,1,1,1,0,"N",2,44,4,2,152
"J Jeyaseelan",17,336,10,8,"N",0,"Lose","Y","Yong Jian Rong",488,-152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,91
"Andy Kurnia",17,446,12,9,"N",1,"Win","Y","Gabriel Cheang",360,86,1,1,1,1,1,2,"N",4,25,7,1,76
"Yong Jian Rong",17,488,8,10,"N",1,"Win","N","J Jeyaseelan",336,152,2,1,1,1,0,2,"N",14,24,7,3,212
"Shim Yen Nee",17,462,16,11,"N",1,"Win","Y","Leon Tan",343,119,1,1,1,0,1,2,"N",1,19,6,3,221
"Gabriel Cheang",17,360,9,12,"N",0,"Lose","N","Andy Kurnia",446,-86,1,0,0,0,0,2,"N",1,22,3,1,82
"Lee Cheong Cheng",17,388,7,13,"N",0,"Lose","Y","Lee Guan Hui",416,-28,2,0,0,0,0,4,"N",1,47,6,2,123
"Jeremy Khoo",17,397,15,14,"N",0,"Lose","N","Tay Jing En",410,-13,1,0,1,0,0,2,"N",0,3,4,2,148
"Tay Jing En",17,410,14,15,"N",1,"Win","Y","Jeremy Khoo",397,13,1,1,0,1,1,2,"N",9,30,6,1,81
"Leon Tan",17,343,11,16,"N",0,"Lose","N","Shim Yen Nee",462,-119,1,0,0,1,0,2,"N",9,0,4,1,62
"Cheah Siu Hean",18,402,11,1,"N",0,"Lose","N","Shim Yen Nee",485,-83,1,1,1,1,0,1,"N",13,56,5,1,64
"Hubert Wee",18,373,5,2,"N",0,"Lose","N","Michael Tang",461,-88,0,0,1,0,1,3,"N",3,12,5,3,222
"Marlon Prudencio",18,375,10,3,"N",0,"Lose","N","Yong Jian Rong",535,-160,1,0,0,0,0,2,"N",3,0,3,2,140
"Tony Sim",18,380,7,4,"N",0,"Lose","N","Lee Guan Hui",395,-15,2,1,0,0,0,0,"N",0,59,3,1,73
"Michael Tang",18,461,2,5,"N",1,"Win","N","Hubert Wee",373,88,2,1,0,1,0,1,"N",7,39,5,2,157
"Lim Li Wei",18,371,9,6,"N",0,"Lose","N","Andy Kurnia",376,-5,1,0,1,1,0,2,"N",1,51,5,1,72
"Lee Guan Hui",18,395,4,7,"N",1,"Win","Y","Tony Sim",380,15,0,0,1,1,1,4,"N",3,18,7,0,0
"J Jeyaseelan",18,411,14,8,"N",0,"Lose","N","Jeremy Khoo",463,-52,2,1,1,0,0,2,"N",2,10,6,3,202
"Andy Kurnia",18,376,6,9,"N",1,"Win","N","Lim Li Wei",371,5,1,1,0,0,1,2,"N",0,18,5,2,146
"Yong Jian Rong",18,535,3,10,"N",1,"Win","N","Marlon Prudencio",375,160,1,1,1,1,1,2,"N",12,35,7,3,228
"Shim Yen Nee",18,485,1,11,"N",1,"Win","Y","Cheah Siu Hean",402,83,1,0,0,0,1,3,"N",0,25,5,4,305
"Gabriel Cheang",18,340,15,12,"N",0,"Lose","N","Tay Jing En",545,-205,1,0,0,1,1,1,"N",3,39,4,1,73
"Lee Cheong Cheng",18,464,16,13,"N",1,"Win","Y","Leon Tan",333,131,2,0,1,0,1,2,"N",0,17,6,2,148
"Jeremy Khoo",18,463,8,14,"N",1,"Win","Y","J Jeyaseelan",411,52,0,0,0,1,1,2,"N",3,57,4,0,0
"Tay Jing En",18,545,12,15,"N",1,"Win","Y","Gabriel Cheang",340,205,1,1,1,0,0,3,"N",13,40,6,3,331
"Leon Tan",18,333,13,16,"N",0,"Lose","N","Lee Cheong Cheng",464,-131,0,1,0,1,0,2,"N",10,52,4,1,68
