Bingo,Score,Player,Round,Division
RUBELLAS,62,Tony Sim,5,1
TAWDRIER,81,Lee Cheong Cheng,5,1
EASTERN,63,Lee Cheong Cheng,5,1
EMIRATES,86,Lee Cheong Cheng,5,1
LIMEADE,76,Yong Jian Rong,5,1
TITRANT,79,Yong Jian Rong,5,1
DIETERS,74,J Jeyaseelan,5,1
RUSSIAs,74,Cheah Siu Hean,6,1
ENSILES,76,Shim Yen Nee,6,1
SAVOURER,74,Hubert Wee,6,1
DISCRETE,84,Lee Cheong Cheng,6,1
SHORTIAS,72,Marlon Prudencio,6,1
ELONGATE,72,Marlon Prudencio,6,1
SLUEInG,78,Marlon Prudencio,6,1
ABRiDGES,94,Andy Kurnia,6,1
ENDARTS,73,Andy Kurnia,6,1
PALLETs,67,Jeremy Khoo,6,1
FANTEEgS,83,Lim Li Wei,6,1
TWOONIE,67,Tony Sim,6,1
OTTAVINO,83,Tony Sim,6,1
KNEELERS,86,Tony Sim,6,1
ENTAILS,85,Leon Tan,6,1
ENTASIA,73,Tay Jing En,6,1
TSARINA,69,Tay Jing En,6,1
REASTIER,87,Yong Jian Rong,6,1
BETRAYED,69,Michael Tang,6,1
ENDURERS,86,Michael Tang,6,1
GAWSIER,65,Michael Tang,6,1
CANIEST,89,Lee Guan Hui,6,1
SNOWILY,95,J Jeyaseelan,6,1
RELENTED,68,J Jeyaseelan,6,1
SALICET,70,Gabriel Cheang,6,1
RIGATONI,70,Gabriel Cheang,6,1
RABATTED,67,Hubert Wee,7,1
VISITORS,62,Leon Tan,7,1
MASTERS,73,Leon Tan,7,1
FOOTMEN,79,Marlon Prudencio,7,1
RADIANS,73,Shim Yen Nee,7,1
RECuILES,145,Cheah Siu Hean,7,1
PRIVATE,93,Cheah Siu Hean,7,1
gRANULE,70,Lee Cheong Cheng,7,1
DUNGIER,94,Yong Jian Rong,7,1
CALOTTE,68,Yong Jian Rong,7,1
RESALUTE,64,J Jeyaseelan,7,1
TOLLGATE,68,J Jeyaseelan,7,1
RIBSTONE,86,Tony Sim,7,1
CINEAST,80,Tony Sim,7,1
PRILLED,92,Tony Sim,7,1
TAINTED,70,Jeremy Khoo,7,1
TARGETS,75,Jeremy Khoo,7,1
SPINULAE,88,Lim Li Wei,7,1
METALED,86,Lim Li Wei,7,1
ORGANISE,74,Gabriel Cheang,7,1
LEADWORT,89,Gabriel Cheang,7,1
SAPIENT,79,Michael Tang,7,1
RETSINAS,81,Andy Kurnia,7,1
TOOTHIER,101,Andy Kurnia,7,1
DETAILS,87,Tay Jing En,7,1
STEADIER,66,Tay Jing En,7,1
STOOLIES,75,Lee Guan Hui,7,1
TRITONIA,68,Lee Guan Hui,7,1
SHAGGIER,76,Gabriel Cheang,8,1
ROILIEST,70,Gabriel Cheang,8,1
SOAPIER,77,Tony Sim,8,1
LINTIER,73,Tony Sim,8,1
REAVING,95,Tay Jing En,8,1
RAIMENTS,89,Tay Jing En,8,1
SOLANDS,79,Tay Jing En,8,1
CURLING,77,J Jeyaseelan,8,1
DANEWORT,94,J Jeyaseelan,8,1
SHRUNKEN,70,Hubert Wee,8,1
UNREINED,64,Hubert Wee,8,1
DINNERS,67,Hubert Wee,8,1
FILENAME,67,Jeremy Khoo,8,1
EXPIRED,96,Michael Tang,8,1
REUNITE,68,Michael Tang,8,1
FRISTING,77,Shim Yen Nee,8,1
ASSOILED,59,Shim Yen Nee,8,1
URINOSE,66,Andy Kurnia,8,1
SNORING,76,Andy Kurnia,8,1
HoARDeRS,93,Andy Kurnia,8,1
TESTIER,75,Marlon Prudencio,8,1
LAIRISED,62,Lee Cheong Cheng,8,1
EMEROID,89,Lee Cheong Cheng,8,1
GOURDIER,83,Cheah Siu Hean,8,1
STRINGED,64,Cheah Siu Hean,8,1
INSOfAR,85,Leon Tan,8,1
COUPLET,72,Leon Tan,8,1
NAILSETS,70,Leon Tan,8,1
ETHANOIC,86,Lim Li Wei,8,1
MATURING,86,Lim Li Wei,8,1
OUTEDGES,63,Yong Jian Rong,8,1
RANCOURS,66,Yong Jian Rong,8,1
GAUzIER,73,Marlon Prudencio,9,1
UNTHREAD,63,Marlon Prudencio,9,1
STERILE,75,Leon Tan,9,1
MEANEST,63,Leon Tan,9,1
PROUDEST,89,Gabriel Cheang,9,1
NOTAIRE,75,Hubert Wee,9,1
STANHOPE,94,Hubert Wee,9,1
ORDINAR,75,Andy Kurnia,9,1
TAINTURE,77,Andy Kurnia,9,1
MEATIER,76,Tay Jing En,9,1
TANGLED,74,Tay Jing En,9,1
EASIEST,70,Tay Jing En,9,1
FUNNeST,90,Jeremy Khoo,9,1
PRONATES,90,Jeremy Khoo,9,1
SOLIDATE,83,Cheah Siu Hean,9,1
MORGUEs,70,Cheah Siu Hean,9,1
AMNIOTE,76,Michael Tang,9,1
TURTLES,76,Lee Cheong Cheng,9,1
RETAILS,72,Yong Jian Rong,9,1
IODIZERS,70,Tony Sim,9,1
SPINAGE,73,Tony Sim,9,1
UREDINIA,61,Lim Li Wei,9,1
AEROSAT,60,J Jeyaseelan,9,1
INSTATE,68,J Jeyaseelan,9,1
QUICKEST,98,J Jeyaseelan,9,1
INVALID,78,Shim Yen Nee,9,1
STHENIAS,82,Shim Yen Nee,9,1
ENSEAMS,93,Shim Yen Nee,9,1
fOGGIER,69,Lee Guan Hui,9,1
rEAVOWED,80,Lee Guan Hui,9,1
AVERTING,72,Jeremy Khoo,10,1
RAnSOMED,90,Jeremy Khoo,10,1
SEAWOmEN,83,Marlon Prudencio,10,1
SPIRITED,98,Marlon Prudencio,10,1
STRIATA,79,Marlon Prudencio,10,1
OXALATES,98,Andy Kurnia,10,1
BEWAiLED,67,Andy Kurnia,10,1
EGOTISES,60,Andy Kurnia,10,1
REALIzE,72,Shim Yen Nee,10,1
DENARII,72,Shim Yen Nee,10,1
YEARLIES,65,J Jeyaseelan,10,1
CINEREAS,71,J Jeyaseelan,10,1
BILLONS,69,J Jeyaseelan,10,1
MISPRIZE,127,Michael Tang,10,1
RETAPING,75,Michael Tang,10,1
DOTTING,71,Leon Tan,10,1
SCRIEVE,89,Yong Jian Rong,10,1
TEARIER,68,Yong Jian Rong,10,1
BANDAGES,149,Yong Jian Rong,10,1
IRONMAN,78,Hubert Wee,10,1
REORDAIN,72,Lim Li Wei,10,1
PALMIET,82,Lim Li Wei,10,1
TEETOTAL,74,Tay Jing En,10,1
DIAMINE,79,Lee Cheong Cheng,10,1
HEISTERS,91,Cheah Siu Hean,10,1
URALITE,68,Cheah Siu Hean,10,1
GALENITE,61,Cheah Siu Hean,10,1
BEADINGS,92,Gabriel Cheang,10,1
PROTEGE,67,J Jeyaseelan,11,1
SAUNTED,84,J Jeyaseelan,11,1
RESILINS,73,J Jeyaseelan,11,1
FELLATED,77,J Jeyaseelan,11,1
ATTORNEY,68,Hubert Wee,11,1
MOTLIER,90,Hubert Wee,11,1
SDEIGNS,70,Michael Tang,11,1
GRECIAN,78,Michael Tang,11,1
RESTAGE,74,Jeremy Khoo,11,1
NECTARY,74,Shim Yen Nee,11,1
OUTCRIES,74,Shim Yen Nee,11,1
LEAVIER,104,Shim Yen Nee,11,1
MARAUDS,83,Lim Li Wei,11,1
UNNERVES,72,Lim Li Wei,11,1
VERIFIED,86,Lim Li Wei,11,1
ALLURED,62,Lee Cheong Cheng,11,1
ATONIES,68,Lee Cheong Cheng,11,1
HARDING*,88,Andy Kurnia,11,1
LATHERS,72,Gabriel Cheang,11,1
NITRIDS,70,Gabriel Cheang,11,1
SPURRERS,91,Gabriel Cheang,11,1
JAGGIEST,84,Marlon Prudencio,11,1
tHRONED,79,Lee Guan Hui,11,1
SPRINTED,78,Lee Guan Hui,11,1
RETURNIK,72,Lee Guan Hui,11,1
OUTSAIL,65,Leon Tan,11,1
RESIANT,83,Leon Tan,11,1
EROTEMA,68,Yong Jian Rong,11,1
OVERTAX,130,Yong Jian Rong,11,1
DENTINS,89,Yong Jian Rong,11,1
WEIRDEST,76,Cheah Siu Hean,11,1
OBLIGATE,77,Cheah Siu Hean,11,1
TITTERS,73,Lee Cheong Cheng,12,1
CROONED,73,Lee Cheong Cheng,12,1
REUNITED,64,Shim Yen Nee,12,1
ANSATED,74,Marlon Prudencio,12,1
STEELIE,77,Marlon Prudencio,12,1
DESIRED,81,Michael Tang,12,1
LIGURES,70,Michael Tang,12,1
KNOTTERS,63,Gabriel Cheang,12,1
VENISON,77,Gabriel Cheang,12,1
bARIUMS,72,Cheah Siu Hean,12,1
IRONERS,70,Cheah Siu Hean,12,1
CUNEaTE,66,J Jeyaseelan,12,1
REVISALS,74,J Jeyaseelan,12,1
ATHEISTS,67,Tay Jing En,12,1
InDITER,74,Leon Tan,12,1
bENDIER,78,Leon Tan,12,1
GREASIER,80,Andy Kurnia,12,1
WRITINGS,80,Hubert Wee,12,1
DISSEAT,94,Hubert Wee,12,1
EVERSION,63,Hubert Wee,12,1
SEALANT,68,Hubert Wee,12,1
NATURAL,66,Hubert Wee,12,1
ORDINEE,75,Lim Li Wei,12,1
STUNNeRS,57,Jeremy Khoo,12,1
CAPTIVES,98,Jeremy Khoo,12,1
DESOLATE,80,Lee Guan Hui,12,1
ReCOALED,77,Lee Guan Hui,12,1
WINIEST,80,Yong Jian Rong,13,1
AVERTED,88,Yong Jian Rong,13,1
RETAINED,74,Yong Jian Rong,13,1
ENTREAT,69,Shim Yen Nee,13,1
WAILSOME,82,Shim Yen Nee,13,1
WILTERS*,80,Leon Tan,13,1
MILDENED,64,Cheah Siu Hean,13,1
BERGAMOT,90,Cheah Siu Hean,13,1
PENALISE,83,Cheah Siu Hean,13,1
COTTISED,76,Lim Li Wei,13,1
RECOUNTS,61,Lim Li Wei,13,1
DEISEAL,85,Gabriel Cheang,13,1
SALUTOR*,68,Gabriel Cheang,13,1
SKEWERS,70,Lee Guan Hui,13,1
LEGATORS,60,Lee Guan Hui,13,1
REFUTES,69,Lee Cheong Cheng,13,1
STRIATE,87,Lee Cheong Cheng,13,1
VITAMIN,78,Lee Cheong Cheng,13,1
DEARNESS,80,Tay Jing En,13,1
AEGIRITE,68,Jeremy Khoo,13,1
ERUPTED,91,Jeremy Khoo,13,1
MAZINESS,115,Andy Kurnia,13,1
REVIEWED,78,Andy Kurnia,13,1
VAINEST,72,Hubert Wee,13,1
INFORCED,78,Hubert Wee,13,1
UNMOORED,62,Hubert Wee,13,1
TRYSAIL,87,Hubert Wee,13,1
TAENIAS,65,Tony Sim,13,1
LINGUINE,75,Tony Sim,13,1
TELERAN,69,Tony Sim,13,1
ALEXINS,84,Marlon Prudencio,13,1
STEARED,70,Marlon Prudencio,13,1
GENTLES,75,J Jeyaseelan,13,1
TENDRES,63,J Jeyaseelan,13,1
hAYIEST,66,Hubert Wee,15,1
REFOOTED,62,Hubert Wee,15,1
ARSeHOLE,90,Hubert Wee,15,1
TUTTIES,73,Cheah Siu Hean,15,1
HOARIEST,74,Tony Sim,14,1
LEADIEST,74,Tony Sim,14,1
DENTOID,72,Cheah Siu Hean,14,1
AGENESIA,86,Cheah Siu Hean,14,1
GAUCIESt,88,Gabriel Cheang,14,1
ECOTAGEs,75,Gabriel Cheang,14,1
UNELATED,72,Gabriel Cheang,14,1
INTITULE,64,Andy Kurnia,14,1
OWRELAY,63,J Jeyaseelan,14,1
REVERSO,70,J Jeyaseelan,14,1
IMPAIRED,102,J Jeyaseelan,14,1
TROOLIES,66,J Jeyaseelan,14,1
SENOPIA,73,Michael Tang,14,1
HOISTED,102,Lim Li Wei,14,1
TRENISE,72,Lim Li Wei,14,1
WASTAGE,95,Lim Li Wei,14,1
IRENICAL,83,Lim Li Wei,14,1
SATURATE,68,Marlon Prudencio,14,1
REFORGE,78,Marlon Prudencio,14,1
GaYNESS,83,Shim Yen Nee,14,1
OUTSHONE,74,Shim Yen Nee,14,1
EROTICA,73,Shim Yen Nee,14,1
DIPTEROI,70,Lee Guan Hui,14,1
CAROTINs,86,Lee Guan Hui,14,1
RETINOLS,59,Yong Jian Rong,14,1
DUALISES,74,Hubert Wee,14,1
DETRAIN,75,Hubert Wee,14,1
IRONIZE,89,Hubert Wee,14,1
ORATORS,69,Tay Jing En,14,1
AlLURES,73,Leon Tan,14,1
ADENINE,67,Leon Tan,14,1
STAMPInG,72,Leon Tan,14,1
TARWEEDS,68,Leon Tan,14,1
GEORGIC,83,Marlon Prudencio,15,1
NAILsET,81,Lee Guan Hui,15,1
AGENIsE,79,Lee Guan Hui,15,1
INQiLAB,82,Leon Tan,15,1
STERNEST,59,Leon Tan,15,1
DURATeS*,84,Tay Jing En,15,1
RETILES,67,Shim Yen Nee,15,1
MISREAD,79,Shim Yen Nee,15,1
VAINEST,89,Shim Yen Nee,15,1
GEEZERS,76,Jeremy Khoo,15,1
GUITARS,69,Jeremy Khoo,15,1
UNTOWArD,86,Jeremy Khoo,15,1
FAuCETS,89,Jeremy Khoo,15,1
LARIATED,79,Lee Cheong Cheng,15,1
BROILING,76,Lee Cheong Cheng,15,1
WATeRED,85,Andy Kurnia,15,1
DARKeNS,79,Andy Kurnia,15,1
FRACTURE,80,Andy Kurnia,15,1
PROFITED,80,Lim Li Wei,15,1
NETTLES,73,Lim Li Wei,15,1
SINUATE,81,Michael Tang,15,1
BEARDING,80,Michael Tang,15,1
ANGINAs,61,Andy Kurnia,16,1
STEvENS,68,Andy Kurnia,16,1
SNIVELS,64,Marlon Prudencio,16,1
EMICTORY,84,Marlon Prudencio,16,1
REBORING,95,Marlon Prudencio,16,1
BLOATERS,83,Lim Li Wei,16,1
RUNLETS,77,Michael Tang,16,1
REGRATED,86,Hubert Wee,16,1
RADIANT,74,Tay Jing En,16,1
TRAVOIS,66,Gabriel Cheang,16,1
ENATION,67,Gabriel Cheang,16,1
INDORSED,83,J Jeyaseelan,16,1
LITIGATE,68,Lee Guan Hui,16,1
ERASION,69,Lee Guan Hui,16,1
BETAINES,90,Shim Yen Nee,16,1
DANGERS,84,Shim Yen Nee,16,1
RENEWALS,86,Shim Yen Nee,16,1
GENISTA,82,Tony Sim,16,1
CRACKLE,85,Tony Sim,16,1
SERRING,98,Tony Sim,16,1
FORTIES,69,Tony Sim,16,1
OUTLEAD,77,Cheah Siu Hean,16,1
AIERIES,77,Cheah Siu Hean,16,1
LOAMIER,67,Lee Cheong Cheng,16,1
NITROUS,66,Lee Cheong Cheng,16,1
ENTAILER,78,Leon Tan,16,1
FROSTING,64,Leon Tan,16,1
NETBALL,70,Tony Sim,17,1
REBATES,80,Tony Sim,17,1
CAPTION,78,Hubert Wee,17,1
NEAREST,86,Hubert Wee,17,1
TENSIBLE,73,Hubert Wee,17,1
DEMERGES,76,Lim Li Wei,17,1
STORMIER,82,Lim Li Wei,17,1
TARRIER,72,Yong Jian Rong,17,1
RELOANS,68,Yong Jian Rong,17,1
CELOSIA,72,Yong Jian Rong,17,1
TESTONS,91,J Jeyaseelan,17,1
TAURINES,64,Marlon Prudencio,17,1
FINAGLE,63,Michael Tang,17,1
EXPANDS,81,Tay Jing En,17,1
ARRIVES,80,Jeremy Khoo,17,1
FOUTRES,68,Jeremy Khoo,17,1
ENABLED,72,Lee Guan Hui,17,1
OVERHAUL,80,Lee Guan Hui,17,1
sEMANTIC,62,Lee Cheong Cheng,17,1
RATINGS,61,Lee Cheong Cheng,17,1
IRISATE,64,Shim Yen Nee,17,1
HERRINg,75,Shim Yen Nee,17,1
INTENSE,82,Shim Yen Nee,17,1
EPiGONIS*,62,Leon Tan,17,1
AMBIENT,76,Andy Kurnia,17,1
ODORANTS,82,Gabriel Cheang,17,1
CAIQUES,94,Yong Jian Rong,18,1
DIALOGS,74,Yong Jian Rong,18,1
TENORITE,60,Yong Jian Rong,18,1
ENTIRELY,72,Marlon Prudencio,18,1
HANTLES,68,Marlon Prudencio,18,1
ISATINES,131,Tay Jing En,18,1
DOLLIES,78,Tay Jing En,18,1
STRIDENT,122,Tay Jing En,18,1
DEITIES,73,Gabriel Cheang,18,1
CHEERING,74,Lee Cheong Cheng,18,1
FINITES,74,Lee Cheong Cheng,18,1
STANDER,68,Leon Tan,18,1
LOUNGeR,73,Tony Sim,18,1
BARITONE,74,Shim Yen Nee,18,1
FORLANAS,76,Shim Yen Nee,18,1
MODELING,72,Shim Yen Nee,18,1
BLISTERS,83,Shim Yen Nee,18,1
TEENIER,64,Cheah Siu Hean,18,1
OWRIEST,94,Hubert Wee,18,1
GOLDARNS,66,Hubert Wee,18,1
NATURAL,62,Hubert Wee,18,1
INULASE,97,Michael Tang,18,1
GESTALTS,60,Michael Tang,18,1
VArIABLE,66,Andy Kurnia,18,1
LORRIES,80,Andy Kurnia,18,1
FOrEGONE,72,Lim Li Wei,18,1
ARGYRIA,74,J Jeyaseelan,18,1
DEBONAIR,65,J Jeyaseelan,18,1
SEEPAGES,63,J Jeyaseelan,18,1
VARIANT,76,S Shantikumar,1,2
NASTIER,83,Lee Chee Meng,1,2
HUNTERS,73,Lee Chee Meng,1,2
LUSTIEST,75,Valliamah Thambaiah,1,2
STAINER,75,Lee Chee Meng,2,2
TENAILS,62,Nicholas Lee,2,2
VIOLETS,79,Khumraj Balal,2,2
ROUTINE,66,Shukra Raj Gurung,2,2
REPRICE,79,S Shantikumar,2,2
AILINGS*,73,Nicholas Lee,3,2
IDOLIST,74,Valliamah Thambaiah,3,2
POSITED,74,Lee Chee Meng,3,2
LITTERS,69,Lee Chee Meng,3,2
AUNTIES,62,Lee Chee Meng,3,2
MANDATES,74,S Shantikumar,3,2
FAERIES,76,Shukra Raj Gurung,3,2
SCOLDING,64,Shukra Raj Gurung,3,2
ODONATES,58,Shahrul Kamal,3,2
ARENITE,61,Nicholas Lee,4,2
AIGRETS,67,Nicholas Lee,4,2
DETOURS,70,Mohammed Ameen,4,2
LOUNGES,79,Mohammed Ameen,4,2
INDORSE,84,Khumraj Balal,4,2
GLANDERS,88,Khumraj Balal,4,2
UNITING,77,Khumraj Balal,4,2
WRESTING,63,Lee Chee Meng,4,2
SARDINES,70,Lee Chee Meng,5,2
BROMATES,74,Shahrul Kamal,5,2
INSURES,74,Valliamah Thambaiah,5,2
ABLINGS,68,Valliamah Thambaiah,5,2
PINIONS,60,Shukra Raj Gurung,5,2
JUICERS,123,Khumraj Balal,5,2
ADVICES,83,Mohammed Ameen,6,2
STUNNED,76,Mohammed Ameen,6,2
BANTERS,74,Nicholas Lee,6,2
AREDING,72,Nicholas Lee,6,2
SOONEST,62,Shahrul Kamal,6,2
RETILED,77,Shahrul Kamal,6,2
HANGARS,68,Shukra Raj Gurung,6,2
HARKING,93,Khumraj Balal,7,2
TOURISTS,66,Khumraj Balal,7,2
SPLEENS,84,Valliamah Thambaiah,7,2
SNOWIER,85,Mohammed Ameen,7,2
DIETING,76,Mohammed Ameen,7,2
DARTIEST*,77,S Shantikumar,7,2
TELLERS,74,Shahrul Kamal,7,2
SHAKIER,76,Mohammed Ameen,8,2
SMUTTIER,83,Mohammed Ameen,8,2
APPLIED,73,Lee Chee Meng,8,2
FERNIEST,91,S Shantikumar,8,2
ELUSION,81,Valliamah Thambaiah,8,2
TEARERS,69,Shukra Raj Gurung,8,2
WAILERS,93,Nicholas Lee,8,2
