"player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","blank","j","q","x","z","s","overtime","minute","second","power.tiles","bingo.count","bingo.points"
"Mohammed Ameen",6,436,1,4,"N",1,"Win","N","Lee Chee Meng",353,83,2,0,0,1,1,3,"N",9,50,7,2,159
"S Shanthikumar",6,293,8,5,"N",0,"Lose","Y","Khumraj Thapa",303,-10,1,1,0,1,1,1,"",NA,NA,5,0,0
"Shahrul Kamal",6,351,3,6,"N",0,"Lose","N","Nicholas Lee",425,-74,1,1,0,0,1,2,"N",2,25,5,2,139
"Valliammah Thambiaya",6,310,2,7,"N",0,"Lose","Y","Shukra Raj Gurung",391,-81,0,1,1,1,1,2,"N",8,47,6,0,0
"Khumraj Thapa",6,303,5,8,"N",1,"Win","N","S Shanthikumar",293,10,1,0,1,0,0,3,"",NA,NA,5,0,0
"Lee Chee Meng",7,319,2,1,"N",0,"Lose","N","Shukra Raj Gurung",410,-91,0,0,1,1,1,1,"",NA,NA,4,0,0
"Shukra Raj Gurung",7,410,1,2,"N",1,"Win","Y","Lee Chee Meng",319,91,2,1,0,0,0,3,"N",11,59,6,0,0
"Nicholas Lee",7,269,4,3,"N",0,"Lose","N","Mohammed Ameen",443,-174,0,1,0,0,1,0,"N",9,22,2,0,0
"Mohammed Ameen",7,443,3,4,"N",1,"Win","Y","Nicholas Lee",269,174,2,0,1,1,0,4,"N",9,51,8,2,161
"S Shanthikumar",7,412,6,5,"N",1,"Win","N","Shahrul Kamal",404,8,2,1,1,1,1,3,"",NA,NA,9,0,0
"Shahrul Kamal",7,404,5,6,"N",0,"Lose","Y","S Shanthikumar",412,-8,0,0,0,0,0,1,"",NA,NA,1,1,74
"Valliammah Thambiaya",7,363,8,7,"N",0,"Lose","N","Khumraj Thapa",434,-71,1,1,0,1,0,1,"N",7,43,4,0,0
"Khumraj Thapa",7,434,7,8,"N",1,"Win","Y","Valliammah Thambiaya",363,71,1,0,1,0,1,3,"N",9,43,6,2,159
"Lee Chee Meng",8,360,4,1,"N",0,"Lose","N","Mohammed Ameen",431,-71,1,0,0,0,1,2,"Y",0,38,4,1,73
"Shukra Raj Gurung",8,356,8,2,"N",1,"Win","Y","Khumraj Thapa",354,2,0,0,0,1,0,2,"N",6,51,3,1,69
