"player","vp","spread","ave.score","ave.opp.score","ave.spread","j","q","x","z","blank","s","power.tiles","overtime","seconds.left","bingos","bingo.ave.score","country","tou.name","sa.rating.name","sa.h2h.name","sa.rating.before","sa.rating.after","Change"
"Khumraj Thapa",10,232,373.25,358.75,14.5,7,10,5,8,17,32,78,0,404,11,83,"Nepal","Khumraj Thapa","Balal, Khumraj Thapa (NP)","Khumraj Balal",1473,1574,101
"Lee Chee Meng",5,-94,388.6875,394.5625,-5.875,7,7,9,8,12,29,72,2,228.555555555556,16,70,"Singapore","Lee Chee Meng","Lee Chee Meng","Lee Chee Meng",1565,1486,-79
"Mohammed Ameen",9,182,383.4,371.266666666667,12.1333333333333,5,10,9,6,15,30,74,0,481.454545454545,13,79.6923076923077,"Singapore","Mohammed Ameen","Mohammed Ameen","Mohammed Ameen",1514,1563,49
"Nicholas Lee",7,-313,369.125,388.6875,-19.5625,7,7,5,6,16,25,66,0,609.4,11,70.2727272727273,"Singapore","Nicholas Lee","Lee Jun Peng, Nicholas","Nicholas Lee",1517,1485,-32
"S Shanthikumar",2,-867,349.933333333333,407.733333333333,-57.8,8,6,7,9,11,23,63,0,212,NA,NA,"Singapore","S Shanthikumar","","S Shanthikumar",0,NA,NA
"Shahrul Kamal",9,547,410.0625,375.875,34.1875,7,3,6,4,15,27,58,2,191.666666666667,22,75.5909090909091,"Singapore","Shahrul Kamal","Shahrul Kamal","Shahrul Kamal",1494,1526,32
"Shukra Raj Gurung",14,638,390.6875,350.8125,39.875,7,8,7,7,21,33,83,0,461.538461538462,12,66.8333333333333,"Nepal","Shukra Raj Gurung","Gurung, Shukra Raj (NP)","Shukra Raj Gurung",1546,1750,204
"Valliammah Thambiaya",7,-325,384.75,405.0625,-20.3125,8,6,9,9,9,27,64,0,347.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
